project |Projects |project |projects |Project,2014100223,8580,8,9.324009324009324E-4
project |Projects |project |projects |Project,2014100719,8904,20,0.0022461814914645105
project |Projects |project |projects |Project,2014100803,4750,1,2.105263157894737E-4
project |Projects |project |projects |Project,2014100712,10146,15,0.0014784151389710231
project |Projects |project |projects |Project,2014100804,8238,0,0.0
project |Projects |project |projects |Project,2014100610,8565,16,0.0018680677174547577
project |Projects |project |projects |Project,2014100713,7382,19,0.002573828230831753
project |Projects |project |projects |Project,2014100805,6904,0,0.0
project |Projects |project |projects |Project,2014100611,8676,23,0.0026509912402028586
project |Projects |project |projects |Project,2014100714,9294,13,0.001398751882935227
project |Projects |project |projects |Project,2014100806,7696,2,2.598752598752599E-4
project |Projects |project |projects |Project,2014100612,7761,15,0.001932740626207963
project |Projects |project |projects |Project,2014100715,8494,8,9.418412997409936E-4
project |Projects |project |projects |Project,2014100807,6298,10,0.0015878056525881232
project |Projects |project |projects |Project,2014100519,13547,10,7.381708127260648E-4
project |Projects |project |projects |Project,2014100809,5933,15,0.0025282319231417494
project |Projects |project |projects |Project,2014100518,12589,10,7.943442688061005E-4
project |Projects |project |projects |Project,2014100808,7916,12,0.0015159171298635675
project |Projects |project |projects |Project,2014100410,8297,9,0.0010847294202723876
project |Projects |project |projects |Project,2014100412,8252,15,0.001817741153659719
project |Projects |project |projects |Project,2014100515,6526,6,9.193993257738277E-4
project |Projects |project |projects |Project,2014100411,8736,7,8.012820512820513E-4
project |Projects |project |projects |Project,2014100514,7337,3,4.088864658579801E-4
project |Projects |project |projects |Project,2014100414,8029,3,3.736455349358575E-4
project |Projects |project |projects |Project,2014100517,16635,6,3.606853020739405E-4
project |Projects |project |projects |Project,2014100413,7649,5,6.536802196365538E-4
project |Projects |project |projects |Project,2014100516,7164,9,0.001256281407035176
project |Projects |project |projects |Project,2014100416,8535,4,4.6865846514352667E-4
project |Projects |project |projects |Project,2014100511,8203,8,9.752529562355236E-4
project |Projects |project |projects |Project,2014100415,9288,4,4.306632213608958E-4
project |Projects |project |projects |Project,2014100510,7389,3,4.060089321965083E-4
project |Projects |project |projects |Project,2014100418,8794,7,7.959972708664999E-4
project |Projects |project |projects |Project,2014100513,8653,8,9.245348434069109E-4
project |Projects |project |projects |Project,2014100417,9001,13,0.0014442839684479503
project |Projects |project |projects |Project,2014100512,7658,5,6.529119874640898E-4
project |Projects |project |projects |Project,2014100908,14247,6,4.211412929037692E-4
project |Projects |project |projects |Project,2014100907,7751,5,6.450780544445878E-4
project |Projects |project |projects |Project,2014100419,8630,10,0.0011587485515643105
project |Projects |project |projects |Project,2014100909,1000,3,0.003
project |Projects |project |projects |Project,2014100721,11447,9,7.862322005765703E-4
project |Projects |project |projects |Project,2014100722,8294,6,7.234145165179648E-4
project |Projects |project |projects |Project,2014100720,10198,14,0.0013728181996469895
project |Projects |project |projects |Project,2014100723,5300,4,7.547169811320754E-4
project |Projects |project |projects |Project,2014100520,14801,9,6.080670224984799E-4
project |Projects |project |projects |Project,2014100523,12605,7,5.553351844506148E-4
project |Projects |project |projects |Project,2014100522,10915,2,1.832340815391663E-4
project |Projects |project |projects |Project,2014100521,14363,6,4.177400264568683E-4
project |Projects |project |projects |Project,2014100623,8800,4,4.5454545454545455E-4
project |Projects |project |projects |Project,2014100622,9000,6,6.666666666666666E-4
project |Projects |project |projects |Project,2014100621,9007,8,8.881980681692017E-4
project |Projects |project |projects |Project,2014100620,8998,9,0.0010002222716159147
project |Projects |project |projects |Project,2014093011,9741,9,9.239297813366184E-4
project |Projects |project |projects |Project,2014093012,11191,30,0.0026807255830578144
project |Projects |project |projects |Project,2014093013,5267,12,0.002278336814125688
project |Projects |project |projects |Project,2014093017,3899,12,0.00307771223390613
project |Projects |project |projects |Project,2014093018,99,0,0.0
project |Projects |project |projects |Project,2014093019,8564,13,0.0015179822512844466
