hong kong |Hong Kong,2014100223,8580,4,4.662004662004662E-4
hong kong |Hong Kong,2014100216,10725,2,1.8648018648018648E-4
hong kong |Hong Kong,2014100312,10661,5,4.689991558015196E-4
hong kong |Hong Kong,2014100217,9835,10,0.0010167768174885613
hong kong |Hong Kong,2014100313,9887,2,2.0228582987761708E-4
hong kong |Hong Kong,2014100218,9907,5,5.04693650953871E-4
hong kong |Hong Kong,2014100314,9820,3,3.054989816700611E-4
hong kong |Hong Kong,2014100219,11100,7,6.306306306306306E-4
hong kong |Hong Kong,2014100420,8163,4,4.900159255175794E-4
hong kong |Hong Kong,2014100315,10271,3,2.9208450978483107E-4
hong kong |Hong Kong,2014100120,12122,4,3.2997855139415937E-4
hong kong |Hong Kong,2014100421,8099,1,1.2347203358439315E-4
hong kong |Hong Kong,2014100422,8432,0,0.0
hong kong |Hong Kong,2014100423,6306,6,9.514747859181732E-4
hong kong |Hong Kong,2014100310,10343,2,1.9336749492410325E-4
hong kong |Hong Kong,2014100311,11400,1,8.771929824561403E-5
hong kong |Hong Kong,2014100115,14152,0,0.0
hong kong |Hong Kong,2014100114,11535,3,2.600780234070221E-4
hong kong |Hong Kong,2014100117,11365,8,7.039155301363836E-4
hong kong |Hong Kong,2014100116,10904,4,3.6683785766691124E-4
hong kong |Hong Kong,2014100111,9571,7,7.313760317626162E-4
hong kong |Hong Kong,2014100110,9126,10,0.0010957703265395574
hong kong |Hong Kong,2014100823,5727,4,6.984459577440195E-4
hong kong |Hong Kong,2014100113,11543,16,0.0013861214588928355
hong kong |Hong Kong,2014100822,900,2,0.0022222222222222222
hong kong |Hong Kong,2014100112,11651,15,0.0012874431379280749
hong kong |Hong Kong,2014100119,11403,7,6.138735420503376E-4
hong kong |Hong Kong,2014100118,10294,9,8.742957062366427E-4
hong kong |Hong Kong,2014100604,4638,1,2.1561017680034498E-4
hong kong |Hong Kong,2014100605,8675,4,4.610951008645533E-4
hong kong |Hong Kong,2014100700,5207,1,1.9204916458613405E-4
hong kong |Hong Kong,2014100914,3191,0,0.0
hong kong |Hong Kong,2014100602,8176,0,0.0
hong kong |Hong Kong,2014100915,1000,0,0.0
hong kong |Hong Kong,2014100603,9384,1,1.0656436487638534E-4
hong kong |Hong Kong,2014100912,2545,1,3.929273084479371E-4
hong kong |Hong Kong,2014100608,13680,2,1.4619883040935673E-4
hong kong |Hong Kong,2014100913,6771,1,1.476886722788362E-4
hong kong |Hong Kong,2014100609,13287,4,3.0104613532023783E-4
hong kong |Hong Kong,2014100810,6053,0,0.0
hong kong |Hong Kong,2014100606,4334,0,0.0
hong kong |Hong Kong,2014100607,6194,2,3.2289312237649337E-4
hong kong |Hong Kong,2014100707,4802,0,0.0
hong kong |Hong Kong,2014100813,7061,0,0.0
hong kong |Hong Kong,2014100708,5400,3,5.555555555555556E-4
hong kong |Hong Kong,2014100814,6011,0,0.0
hong kong |Hong Kong,2014100705,2740,0,0.0
hong kong |Hong Kong,2014100811,6604,1,1.5142337976983646E-4
hong kong |Hong Kong,2014100706,3398,1,2.942907592701589E-4
hong kong |Hong Kong,2014100812,5896,1,1.6960651289009497E-4
hong kong |Hong Kong,2014100817,6743,25,0.0037075485688862525
hong kong |Hong Kong,2014100600,15771,2,1.268150402637753E-4
hong kong |Hong Kong,2014100703,5792,1,1.7265193370165745E-4
hong kong |Hong Kong,2014100818,7400,21,0.002837837837837838
hong kong |Hong Kong,2014100601,8669,1,1.1535355865728458E-4
hong kong |Hong Kong,2014100704,3010,0,0.0
hong kong |Hong Kong,2014100815,5628,0,0.0
hong kong |Hong Kong,2014100701,13455,0,0.0
hong kong |Hong Kong,2014100816,7857,2,2.545500827287769E-4
hong kong |Hong Kong,2014100702,8524,0,0.0
hong kong |Hong Kong,2014100509,9287,5,5.383869925702595E-4
hong kong |Hong Kong,2014100508,6498,5,7.694675284702986E-4
hong kong |Hong Kong,2014100819,4300,10,0.002325581395348837
hong kong |Hong Kong,2014100507,16911,0,0.0
hong kong |Hong Kong,2014100403,6749,4,5.92680397095866E-4
hong kong |Hong Kong,2014100506,11836,1,8.448800270361608E-5
hong kong |Hong Kong,2014100402,6613,4,6.048691970361409E-4
hong kong |Hong Kong,2014100505,6487,4,6.16617851086789E-4
hong kong |Hong Kong,2014100401,4570,3,6.564551422319475E-4
hong kong |Hong Kong,2014100504,3861,1,2.59000259000259E-4
hong kong |Hong Kong,2014100400,5285,5,9.46073793755913E-4
hong kong |Hong Kong,2014100503,4540,1,2.2026431718061675E-4
hong kong |Hong Kong,2014100709,5572,0,0.0
hong kong |Hong Kong,2014100407,7111,1,1.406271972999578E-4
hong kong |Hong Kong,2014100406,10763,0,0.0
hong kong |Hong Kong,2014100501,6148,1,1.6265452179570593E-4
hong kong |Hong Kong,2014100405,10366,1,9.646922631680494E-5
hong kong |Hong Kong,2014100500,11540,1,8.665511265164645E-5
hong kong |Hong Kong,2014100404,3086,3,9.721322099805574E-4
hong kong |Hong Kong,2014100409,9932,5,5.034232782923883E-4
hong kong |Hong Kong,2014100408,10458,8,7.649646203863071E-4
hong kong |Hong Kong,2014100903,4141,1,2.414875633904854E-4
hong kong |Hong Kong,2014100613,12260,5,4.078303425774878E-4
hong kong |Hong Kong,2014100904,4854,0,0.0
hong kong |Hong Kong,2014100614,10247,4,3.9035815360593347E-4
hong kong |Hong Kong,2014100905,7777,4,5.143371480005143E-4
hong kong |Hong Kong,2014100615,8801,3,3.408703556414044E-4
hong kong |Hong Kong,2014100710,7431,0,0.0
hong kong |Hong Kong,2014100906,3505,1,2.853067047075606E-4
hong kong |Hong Kong,2014100616,10833,2,1.8462106526354657E-4
hong kong |Hong Kong,2014100711,13474,3,2.226510316164465E-4
hong kong |Hong Kong,2014100617,11523,1,8.678295582747549E-5
hong kong |Hong Kong,2014100900,3864,3,7.763975155279503E-4
hong kong |Hong Kong,2014100618,10834,1,9.230201218386561E-5
hong kong |Hong Kong,2014100901,3052,1,3.27653997378768E-4
hong kong |Hong Kong,2014100619,10472,4,3.819709702062643E-4
hong kong |Hong Kong,2014100902,4916,0,0.0
hong kong |Hong Kong,2014100716,9756,2,2.050020500205002E-4
hong kong |Hong Kong,2014100800,3418,2,5.851375073142189E-4
hong kong |Hong Kong,2014100717,12018,0,0.0
hong kong |Hong Kong,2014100801,4912,3,6.107491856677524E-4
hong kong |Hong Kong,2014100718,9824,1,1.0179153094462541E-4
hong kong |Hong Kong,2014100802,4582,0,0.0
hong kong |Hong Kong,2014100719,8904,0,0.0
hong kong |Hong Kong,2014100803,4750,1,2.105263157894737E-4
hong kong |Hong Kong,2014100712,10146,2,1.9712201852946975E-4
hong kong |Hong Kong,2014100804,8238,0,0.0
hong kong |Hong Kong,2014100610,8565,0,0.0
hong kong |Hong Kong,2014100713,7382,3,4.06393931183961E-4
hong kong |Hong Kong,2014100805,6904,0,0.0
hong kong |Hong Kong,2014100611,8676,4,4.610419548178884E-4
hong kong |Hong Kong,2014100714,9294,2,2.1519259737465033E-4
hong kong |Hong Kong,2014100806,7696,0,0.0
hong kong |Hong Kong,2014100612,7761,2,2.5769875016106174E-4
hong kong |Hong Kong,2014100715,8494,5,5.886508123381211E-4
hong kong |Hong Kong,2014100807,6298,0,0.0
hong kong |Hong Kong,2014100519,13547,2,1.4763416254521297E-4
hong kong |Hong Kong,2014100809,5933,2,3.370975897522333E-4
hong kong |Hong Kong,2014100518,12589,5,3.9717213440305027E-4
hong kong |Hong Kong,2014100808,7916,2,2.5265285497726126E-4
hong kong |Hong Kong,2014100410,8297,3,3.615764734241292E-4
hong kong |Hong Kong,2014100412,8252,2,2.423654871546292E-4
hong kong |Hong Kong,2014100515,6526,2,3.0646644192460924E-4
hong kong |Hong Kong,2014100411,8736,0,0.0
hong kong |Hong Kong,2014100514,7337,1,1.362954886193267E-4
hong kong |Hong Kong,2014100414,8029,2,2.4909702329057166E-4
hong kong |Hong Kong,2014100517,16635,6,3.606853020739405E-4
hong kong |Hong Kong,2014100413,7649,1,1.3073604392731077E-4
hong kong |Hong Kong,2014100516,7164,2,2.7917364600781687E-4
hong kong |Hong Kong,2014100416,8535,1,1.1716461628588167E-4
hong kong |Hong Kong,2014100511,8203,3,3.6571985858832134E-4
hong kong |Hong Kong,2014100415,9288,1,1.0766580534022394E-4
hong kong |Hong Kong,2014100510,7389,0,0.0
hong kong |Hong Kong,2014100418,8794,2,2.2742779167614282E-4
hong kong |Hong Kong,2014100513,8653,9,0.0010401016988327747
hong kong |Hong Kong,2014100417,9001,3,3.3329630041106545E-4
hong kong |Hong Kong,2014100512,7658,1,1.3058239749281798E-4
hong kong |Hong Kong,2014100908,14247,6,4.211412929037692E-4
hong kong |Hong Kong,2014100907,7751,3,3.8704683266675265E-4
hong kong |Hong Kong,2014100419,8630,5,5.793742757821553E-4
hong kong |Hong Kong,2014100909,1000,0,0.0
hong kong |Hong Kong,2014100721,11447,0,0.0
hong kong |Hong Kong,2014100722,8294,1,1.2056908608632747E-4
hong kong |Hong Kong,2014100720,10198,0,0.0
hong kong |Hong Kong,2014100723,5300,0,0.0
hong kong |Hong Kong,2014100520,14801,4,2.7025200999932435E-4
hong kong |Hong Kong,2014100523,12605,9,7.140023800079334E-4
hong kong |Hong Kong,2014100522,10915,9,8.245533669262483E-4
hong kong |Hong Kong,2014100521,14363,13,9.051033906565481E-4
hong kong |Hong Kong,2014100623,8800,1,1.1363636363636364E-4
hong kong |Hong Kong,2014100622,9000,0,0.0
hong kong |Hong Kong,2014100621,9007,1,1.1102475852115021E-4
hong kong |Hong Kong,2014100620,8998,2,2.222716159146477E-4
hong kong |Hong Kong,2014093011,9741,16,0.0016425418334873217
hong kong |Hong Kong,2014093012,11191,11,9.829327137878653E-4
hong kong |Hong Kong,2014093013,5267,8,0.0015188912094171254
hong kong |Hong Kong,2014093017,3899,0,0.0
hong kong |Hong Kong,2014093018,99,0,0.0
hong kong |Hong Kong,2014093019,8564,6,7.006071929005138E-4
