judge |Judge |judge |judges,2014100223,8580,6,6.993006993006993E-4
judge |Judge |judge |judges,2014100810,6053,15,0.002478110028085247
judge |Judge |judge |judges,2014100606,4334,3,6.922011998154131E-4
judge |Judge |judge |judges,2014100607,6194,3,4.8433968356474005E-4
judge |Judge |judge |judges,2014100707,4802,2,4.1649312786339027E-4
judge |Judge |judge |judges,2014100813,7061,1,1.41622999575131E-4
judge |Judge |judge |judges,2014100708,5400,2,3.7037037037037035E-4
judge |Judge |judge |judges,2014100814,6011,2,3.3272334054233906E-4
judge |Judge |judge |judges,2014100705,2740,0,0.0
judge |Judge |judge |judges,2014100811,6604,4,6.056935190793458E-4
judge |Judge |judge |judges,2014100706,3398,0,0.0
judge |Judge |judge |judges,2014100812,5896,2,3.3921302578018993E-4
judge |Judge |judge |judges,2014100817,6743,5,7.415097137772505E-4
judge |Judge |judge |judges,2014100600,15771,1,6.340752013188764E-5
judge |Judge |judge |judges,2014100703,5792,1,1.7265193370165745E-4
judge |Judge |judge |judges,2014100818,7400,5,6.756756756756757E-4
judge |Judge |judge |judges,2014100601,8669,2,2.3070711731456916E-4
judge |Judge |judge |judges,2014100704,3010,0,0.0
judge |Judge |judge |judges,2014100815,5628,4,7.107320540156361E-4
judge |Judge |judge |judges,2014100701,13455,2,1.4864362690449647E-4
judge |Judge |judge |judges,2014100816,7857,14,0.0017818505791014382
judge |Judge |judge |judges,2014100702,8524,0,0.0
judge |Judge |judge |judges,2014100509,9287,2,2.153547970281038E-4
judge |Judge |judge |judges,2014100508,6498,2,3.077870113881194E-4
judge |Judge |judge |judges,2014100819,4300,2,4.6511627906976747E-4
judge |Judge |judge |judges,2014100507,16911,1,5.913310862752055E-5
judge |Judge |judge |judges,2014100403,6749,1,1.481700992739665E-4
judge |Judge |judge |judges,2014100506,11836,0,0.0
judge |Judge |judge |judges,2014100402,6613,0,0.0
judge |Judge |judge |judges,2014100505,6487,1,1.5415446277169725E-4
judge |Judge |judge |judges,2014100401,4570,1,2.188183807439825E-4
judge |Judge |judge |judges,2014100504,3861,0,0.0
judge |Judge |judge |judges,2014100400,5285,1,1.892147587511826E-4
judge |Judge |judge |judges,2014100503,4540,2,4.405286343612335E-4
judge |Judge |judge |judges,2014100709,5572,4,7.178750897343862E-4
judge |Judge |judge |judges,2014100407,7111,4,5.625087891998312E-4
judge |Judge |judge |judges,2014100406,10763,1,9.2910898448388E-5
judge |Judge |judge |judges,2014100501,6148,1,1.6265452179570593E-4
judge |Judge |judge |judges,2014100405,10366,1,9.646922631680494E-5
judge |Judge |judge |judges,2014100500,11540,0,0.0
judge |Judge |judge |judges,2014100404,3086,1,3.240440699935191E-4
judge |Judge |judge |judges,2014100409,9932,1,1.0068465565847765E-4
judge |Judge |judge |judges,2014100408,10458,7,6.693440428380187E-4
judge |Judge |judge |judges,2014100903,4141,0,0.0
judge |Judge |judge |judges,2014100613,12260,5,4.078303425774878E-4
judge |Judge |judge |judges,2014100904,4854,0,0.0
judge |Judge |judge |judges,2014100614,10247,2,1.9517907680296673E-4
judge |Judge |judge |judges,2014100905,7777,3,3.8575286100038574E-4
judge |Judge |judge |judges,2014100615,8801,4,4.544938075218725E-4
judge |Judge |judge |judges,2014100710,7431,1,1.3457139012245997E-4
judge |Judge |judge |judges,2014100906,3505,0,0.0
judge |Judge |judge |judges,2014100616,10833,3,2.7693159789531985E-4
judge |Judge |judge |judges,2014100711,13474,2,1.4843402107763098E-4
judge |Judge |judge |judges,2014100617,11523,2,1.7356591165495098E-4
judge |Judge |judge |judges,2014100900,3864,0,0.0
judge |Judge |judge |judges,2014100618,10834,5,4.6151006091932806E-4
judge |Judge |judge |judges,2014100901,3052,1,3.27653997378768E-4
judge |Judge |judge |judges,2014100619,10472,21,0.002005347593582888
judge |Judge |judge |judges,2014100902,4916,0,0.0
judge |Judge |judge |judges,2014100716,9756,2,2.050020500205002E-4
judge |Judge |judge |judges,2014100800,3418,2,5.851375073142189E-4
judge |Judge |judge |judges,2014100717,12018,5,4.160426027625229E-4
judge |Judge |judge |judges,2014100801,4912,2,4.0716612377850165E-4
judge |Judge |judge |judges,2014100718,9824,8,8.143322475570033E-4
judge |Judge |judge |judges,2014100802,4582,1,2.1824530772588389E-4
judge |Judge |judge |judges,2014100719,8904,11,0.0012353998203054807
judge |Judge |judge |judges,2014100803,4750,0,0.0
judge |Judge |judge |judges,2014100712,10146,1,9.856100926473487E-5
judge |Judge |judge |judges,2014100804,8238,1,1.2138868657441127E-4
judge |Judge |judge |judges,2014100610,8565,4,4.670169293636894E-4
judge |Judge |judge |judges,2014100713,7382,3,4.06393931183961E-4
judge |Judge |judge |judges,2014100805,6904,3,4.3453070683661645E-4
judge |Judge |judge |judges,2014100611,8676,3,3.4578146611341634E-4
judge |Judge |judge |judges,2014100714,9294,1,1.0759629868732516E-4
judge |Judge |judge |judges,2014100806,7696,4,5.197505197505198E-4
judge |Judge |judge |judges,2014100612,7761,0,0.0
judge |Judge |judge |judges,2014100715,8494,1,1.177301624676242E-4
judge |Judge |judge |judges,2014100807,6298,2,3.1756113051762465E-4
judge |Judge |judge |judges,2014100519,13547,33,0.0024359636819960137
judge |Judge |judge |judges,2014100809,5933,21,0.0035395246923984494
judge |Judge |judge |judges,2014100518,12589,5,3.9717213440305027E-4
judge |Judge |judge |judges,2014100808,7916,2,2.5265285497726126E-4
judge |Judge |judge |judges,2014100410,8297,1,1.205254911413764E-4
judge |Judge |judge |judges,2014100412,8252,8,9.694619486185168E-4
judge |Judge |judge |judges,2014100515,6526,3,4.5969966288691386E-4
judge |Judge |judge |judges,2014100411,8736,1,1.1446886446886447E-4
judge |Judge |judge |judges,2014100514,7337,2,2.725909772386534E-4
judge |Judge |judge |judges,2014100414,8029,4,4.981940465811433E-4
judge |Judge |judge |judges,2014100517,16635,1,6.0114217012323416E-5
judge |Judge |judge |judges,2014100413,7649,5,6.536802196365538E-4
judge |Judge |judge |judges,2014100516,7164,2,2.7917364600781687E-4
judge |Judge |judge |judges,2014100416,8535,3,3.51493848857645E-4
judge |Judge |judge |judges,2014100511,8203,2,2.438132390588809E-4
judge |Judge |judge |judges,2014100415,9288,1,1.0766580534022394E-4
judge |Judge |judge |judges,2014100510,7389,2,2.706726214643389E-4
judge |Judge |judge |judges,2014100418,8794,1,1.1371389583807141E-4
judge |Judge |judge |judges,2014100513,8653,4,4.6226742170345545E-4
judge |Judge |judge |judges,2014100417,9001,4,4.4439506721475393E-4
judge |Judge |judge |judges,2014100512,7658,3,3.917471924784539E-4
judge |Judge |judge |judges,2014100908,14247,2071,0.14536393626728433
judge |Judge |judge |judges,2014100907,7751,2,2.580312217778351E-4
judge |Judge |judge |judges,2014100419,8630,1,1.1587485515643106E-4
judge |Judge |judge |judges,2014100909,1000,34,0.034
judge |Judge |judge |judges,2014100721,11447,4,3.494365335895868E-4
judge |Judge |judge |judges,2014100722,8294,4,4.822763443453099E-4
judge |Judge |judge |judges,2014100720,10198,18,0.001765051970974701
judge |Judge |judge |judges,2014100723,5300,1,1.8867924528301886E-4
judge |Judge |judge |judges,2014100520,14801,29,0.001959327072495102
judge |Judge |judge |judges,2014100523,12605,3,2.380007933359778E-4
judge |Judge |judge |judges,2014100522,10915,4,3.664681630783326E-4
judge |Judge |judge |judges,2014100521,14363,7,4.8736336419967973E-4
judge |Judge |judge |judges,2014100623,8800,2,2.2727272727272727E-4
judge |Judge |judge |judges,2014100622,9000,2,2.2222222222222223E-4
judge |Judge |judge |judges,2014100621,9007,8,8.881980681692017E-4
judge |Judge |judge |judges,2014100620,8998,9,0.0010002222716159147
judge |Judge |judge |judges,2014093011,9741,5,5.13294322964788E-4
judge |Judge |judge |judges,2014093012,11191,6,5.361451166115629E-4
judge |Judge |judge |judges,2014093013,5267,8,0.0015188912094171254
judge |Judge |judge |judges,2014093017,3899,3,7.694280584765325E-4
judge |Judge |judge |judges,2014093018,99,0,0.0
judge |Judge |judge |judges,2014093019,8564,6,7.006071929005138E-4
