month |months |month,2014100223,8580,102,0.011888111888111888
month |months |month,2014100522,10915,147,0.013467704993128722
month |months |month,2014100521,14363,172,0.01197521409176356
month |months |month,2014100623,8800,38,0.004318181818181818
month |months |month,2014100622,9000,38,0.004222222222222222
month |months |month,2014100621,9007,21,0.0023315199289441545
month |months |month,2014100620,8998,33,0.003667481662591687
month |months |month,2014093011,9741,33,0.0033877425315676007
month |months |month,2014093012,11191,31,0.002770083102493075
month |months |month,2014093013,5267,11,0.0020884754129485475
month |months |month,2014093017,3899,10,0.0025647601949217746
month |months |month,2014093018,99,0,0.0
month |months |month,2014093019,8564,68,0.007940214852872489
