problem |problems |problem,2014100223,8580,46,0.005361305361305362
problem |problems |problem,2014100705,2740,2,7.2992700729927E-4
problem |problems |problem,2014100811,6604,18,0.0027256208358570565
problem |problems |problem,2014100706,3398,6,0.0017657445556209534
problem |problems |problem,2014100812,5896,26,0.004409769335142469
problem |problems |problem,2014100817,6743,24,0.0035592466261308024
problem |problems |problem,2014100600,15771,7,4.438526409232135E-4
problem |problems |problem,2014100703,5792,1,1.7265193370165745E-4
problem |problems |problem,2014100818,7400,33,0.00445945945945946
problem |problems |problem,2014100601,8669,28,0.003229899642403968
problem |problems |problem,2014100704,3010,3,9.966777408637873E-4
problem |problems |problem,2014100815,5628,13,0.0023098791755508173
problem |problems |problem,2014100701,13455,6,4.459308807134894E-4
problem |problems |problem,2014100816,7857,6,7.636502481863307E-4
problem |problems |problem,2014100702,8524,1,1.1731581417175035E-4
problem |problems |problem,2014100509,9287,5,5.383869925702595E-4
problem |problems |problem,2014100508,6498,9,0.0013850415512465374
problem |problems |problem,2014100819,4300,10,0.002325581395348837
problem |problems |problem,2014100507,16911,7,4.1393176039264385E-4
problem |problems |problem,2014100403,6749,8,0.001185360794191732
problem |problems |problem,2014100506,11836,3,2.5346400811084827E-4
problem |problems |problem,2014100402,6613,6,9.073037955542114E-4
problem |problems |problem,2014100505,6487,0,0.0
problem |problems |problem,2014100401,4570,8,0.00175054704595186
problem |problems |problem,2014100504,3861,2,5.18000518000518E-4
problem |problems |problem,2014100400,5285,8,0.0015137180700094607
problem |problems |problem,2014100503,4540,8,0.001762114537444934
problem |problems |problem,2014100709,5572,10,0.0017946877243359654
problem |problems |problem,2014100407,7111,10,0.0014062719729995782
problem |problems |problem,2014100406,10763,14,0.0013007525782774319
problem |problems |problem,2014100501,6148,8,0.0013012361743656475
problem |problems |problem,2014100405,10366,9,8.682230368512445E-4
problem |problems |problem,2014100500,11540,12,0.0010398613518197574
problem |problems |problem,2014100404,3086,5,0.0016202203499675956
problem |problems |problem,2014100409,9932,12,0.0012082158679017317
problem |problems |problem,2014100408,10458,14,0.0013386880856760374
problem |problems |problem,2014100903,4141,5,0.001207437816952427
problem |problems |problem,2014100613,12260,17,0.0013866231647634583
problem |problems |problem,2014100904,4854,1,2.0601565718994644E-4
problem |problems |problem,2014100614,10247,11,0.001073484922416317
problem |problems |problem,2014100905,7777,4,5.143371480005143E-4
problem |problems |problem,2014100615,8801,23,0.002613339393250767
problem |problems |problem,2014100710,7431,13,0.0017494280715919794
problem |problems |problem,2014100906,3505,7,0.0019971469329529245
problem |problems |problem,2014100616,10833,17,0.0015692790547401458
problem |problems |problem,2014100711,13474,22,0.001632774231853941
problem |problems |problem,2014100617,11523,10,8.678295582747548E-4
problem |problems |problem,2014100900,3864,13,0.0033643892339544515
problem |problems |problem,2014100618,10834,14,0.0012922281705741185
problem |problems |problem,2014100901,3052,7,0.0022935779816513763
problem |problems |problem,2014100619,10472,23,0.00219633307868602
problem |problems |problem,2014100902,4916,2,4.068348250610252E-4
problem |problems |problem,2014100716,9756,19,0.001947519475194752
problem |problems |problem,2014100800,3418,7,0.002047981275599766
problem |problems |problem,2014100717,12018,24,0.00199700449326011
problem |problems |problem,2014100801,4912,6,0.0012214983713355048
problem |problems |problem,2014100718,9824,24,0.0024429967426710096
problem |problems |problem,2014100802,4582,1,2.1824530772588389E-4
problem |problems |problem,2014100719,8904,13,0.0014600179694519318
problem |problems |problem,2014100803,4750,3,6.315789473684211E-4
problem |problems |problem,2014100712,10146,17,0.0016755371575004928
problem |problems |problem,2014100804,8238,1,1.2138868657441127E-4
problem |problems |problem,2014100610,8565,7,8.172796263864566E-4
problem |problems |problem,2014100713,7382,13,0.001761040368463831
problem |problems |problem,2014100805,6904,1,1.4484356894553882E-4
problem |problems |problem,2014100611,8676,7,8.068234209313047E-4
problem |problems |problem,2014100714,9294,10,0.0010759629868732515
problem |problems |problem,2014100806,7696,3,3.8981288981288983E-4
problem |problems |problem,2014100612,7761,14,0.001803891251127432
problem |problems |problem,2014100715,8494,6,7.063809748057452E-4
problem |problems |problem,2014100807,6298,5,7.939028262940616E-4
problem |problems |problem,2014100519,13547,17,0.0012548903816343101
problem |problems |problem,2014100809,5933,9,0.0015169391538850498
problem |problems |problem,2014100518,12589,14,0.0011120819763285408
problem |problems |problem,2014100808,7916,6,7.579585649317837E-4
problem |problems |problem,2014100410,8297,11,0.0013257804025551404
problem |problems |problem,2014100412,8252,6,7.270964614638875E-4
problem |problems |problem,2014100515,6526,8,0.001225865767698437
problem |problems |problem,2014100411,8736,15,0.001717032967032967
problem |problems |problem,2014100514,7337,8,0.0010903639089546136
problem |problems |problem,2014100414,8029,16,0.0019927761863245733
problem |problems |problem,2014100517,16635,9,5.410279531109107E-4
problem |problems |problem,2014100413,7649,13,0.0016995685710550399
problem |problems |problem,2014100516,7164,3,4.187604690117253E-4
problem |problems |problem,2014100416,8535,11,0.0012888107791446982
problem |problems |problem,2014100511,8203,17,0.0020724125320004875
problem |problems |problem,2014100415,9288,13,0.0013996554694229112
problem |problems |problem,2014100510,7389,13,0.0017593720395182027
problem |problems |problem,2014100418,8794,25,0.002842847395951785
problem |problems |problem,2014100513,8653,8,9.245348434069109E-4
problem |problems |problem,2014100417,9001,16,0.0017775802688590157
problem |problems |problem,2014100512,7658,8,0.0010446591799425438
problem |problems |problem,2014100908,14247,13,9.124728012915E-4
problem |problems |problem,2014100907,7751,5,6.450780544445878E-4
problem |problems |problem,2014100419,8630,18,0.002085747392815759
problem |problems |problem,2014100909,1000,1,0.001
problem |problems |problem,2014100721,11447,16,0.0013977461343583472
problem |problems |problem,2014100722,8294,57,0.006872437906920666
problem |problems |problem,2014100720,10198,17,0.001666993528142773
problem |problems |problem,2014100723,5300,12,0.0022641509433962265
problem |problems |problem,2014100520,14801,25,0.0016890750624957774
problem |problems |problem,2014100523,12605,19,0.001507338357794526
problem |problems |problem,2014100522,10915,13,0.0011910215300045808
problem |problems |problem,2014100521,14363,22,0.0015317134303418506
problem |problems |problem,2014100623,8800,17,0.001931818181818182
problem |problems |problem,2014100622,9000,130,0.014444444444444444
problem |problems |problem,2014100621,9007,39,0.004329965582324858
problem |problems |problem,2014100620,8998,14,0.001555901311402534
problem |problems |problem,2014093011,9741,19,0.0019505184272661945
problem |problems |problem,2014093012,11191,25,0.002233937985881512
problem |problems |problem,2014093013,5267,8,0.0015188912094171254
problem |problems |problem,2014093017,3899,3,7.694280584765325E-4
problem |problems |problem,2014093018,99,2,0.020202020202020204
problem |problems |problem,2014093019,8564,25,0.002919196637085474
