price |price |Price |prices,2014100223,8580,8,9.324009324009324E-4
price |price |Price |prices,2014100508,6498,0,0.0
price |price |Price |prices,2014100819,4300,2,4.6511627906976747E-4
price |price |Price |prices,2014100507,16911,0,0.0
price |price |Price |prices,2014100403,6749,0,0.0
price |price |Price |prices,2014100506,11836,5,4.2244001351808043E-4
price |price |Price |prices,2014100402,6613,0,0.0
price |price |Price |prices,2014100505,6487,2,3.083089255433945E-4
price |price |Price |prices,2014100401,4570,5,0.0010940919037199124
price |price |Price |prices,2014100504,3861,2,5.18000518000518E-4
price |price |Price |prices,2014100400,5285,11,0.0020813623462630085
price |price |Price |prices,2014100503,4540,0,0.0
price |price |Price |prices,2014100709,5572,4,7.178750897343862E-4
price |price |Price |prices,2014100407,7111,8,0.0011250175783996624
price |price |Price |prices,2014100406,10763,2,1.85821796896776E-4
price |price |Price |prices,2014100501,6148,2,3.2530904359141186E-4
price |price |Price |prices,2014100405,10366,4,3.8587690526721975E-4
price |price |Price |prices,2014100500,11540,1,8.665511265164645E-5
price |price |Price |prices,2014100404,3086,1,3.240440699935191E-4
price |price |Price |prices,2014100409,9932,8,8.054772452678212E-4
price |price |Price |prices,2014100408,10458,8,7.649646203863071E-4
price |price |Price |prices,2014100903,4141,1,2.414875633904854E-4
price |price |Price |prices,2014100613,12260,7,5.709624796084829E-4
price |price |Price |prices,2014100904,4854,3,6.180469715698393E-4
price |price |Price |prices,2014100614,10247,7,6.831267688103836E-4
price |price |Price |prices,2014100905,7777,0,0.0
price |price |Price |prices,2014100615,8801,4,4.544938075218725E-4
price |price |Price |prices,2014100710,7431,9,0.0012111425111021397
price |price |Price |prices,2014100906,3505,2,5.706134094151213E-4
price |price |Price |prices,2014100616,10833,8,7.384842610541863E-4
price |price |Price |prices,2014100711,13474,14,0.0010390381475434169
price |price |Price |prices,2014100617,11523,7,6.074806907923284E-4
price |price |Price |prices,2014100900,3864,3,7.763975155279503E-4
price |price |Price |prices,2014100618,10834,11,0.0010153221340225217
price |price |Price |prices,2014100901,3052,2,6.55307994757536E-4
price |price |Price |prices,2014100619,10472,4,3.819709702062643E-4
price |price |Price |prices,2014100902,4916,1,2.034174125305126E-4
price |price |Price |prices,2014100716,9756,15,0.0015375153751537515
price |price |Price |prices,2014100800,3418,2,5.851375073142189E-4
price |price |Price |prices,2014100717,12018,14,0.001164919287735064
price |price |Price |prices,2014100801,4912,2,4.0716612377850165E-4
price |price |Price |prices,2014100718,9824,13,0.0013232899022801302
price |price |Price |prices,2014100802,4582,1,2.1824530772588389E-4
price |price |Price |prices,2014100719,8904,7,7.861635220125787E-4
price |price |Price |prices,2014100803,4750,3,6.315789473684211E-4
price |price |Price |prices,2014100712,10146,14,0.0013798541297062883
price |price |Price |prices,2014100804,8238,0,0.0
price |price |Price |prices,2014100610,8565,6,7.005253940455342E-4
price |price |Price |prices,2014100713,7382,11,0.001490111081007857
price |price |Price |prices,2014100805,6904,0,0.0
price |price |Price |prices,2014100611,8676,11,0.0012678653757491932
price |price |Price |prices,2014100714,9294,8,8.607703894986013E-4
price |price |Price |prices,2014100806,7696,4,5.197505197505198E-4
price |price |Price |prices,2014100612,7761,7,9.01945625563716E-4
price |price |Price |prices,2014100715,8494,14,0.0016482222745467388
price |price |Price |prices,2014100807,6298,3,4.76341695776437E-4
price |price |Price |prices,2014100519,13547,4,2.9526832509042594E-4
price |price |Price |prices,2014100809,5933,5,8.427439743805831E-4
price |price |Price |prices,2014100518,12589,7,5.560409881642704E-4
price |price |Price |prices,2014100808,7916,6,7.579585649317837E-4
price |price |Price |prices,2014100410,8297,6,7.231529468482585E-4
price |price |Price |prices,2014100412,8252,5,6.059137178865729E-4
price |price |Price |prices,2014100515,6526,3,4.5969966288691386E-4
price |price |Price |prices,2014100411,8736,5,5.723443223443224E-4
price |price |Price |prices,2014100514,7337,3,4.088864658579801E-4
price |price |Price |prices,2014100414,8029,8,9.963880931622867E-4
price |price |Price |prices,2014100517,16635,4,2.4045686804929366E-4
price |price |Price |prices,2014100413,7649,8,0.0010458883514184861
price |price |Price |prices,2014100516,7164,8,0.0011166945840312675
price |price |Price |prices,2014100416,8535,10,0.0011716461628588166
price |price |Price |prices,2014100511,8203,9,0.001097159575764964
price |price |Price |prices,2014100415,9288,6,6.459948320413437E-4
price |price |Price |prices,2014100510,7389,3,4.060089321965083E-4
price |price |Price |prices,2014100418,8794,5,5.685694791903571E-4
price |price |Price |prices,2014100513,8653,3,3.467005662775916E-4
price |price |Price |prices,2014100417,9001,4,4.4439506721475393E-4
price |price |Price |prices,2014100512,7658,13,0.0016975711674066336
price |price |Price |prices,2014100908,14247,7,4.913315083877308E-4
price |price |Price |prices,2014100907,7751,0,0.0
price |price |Price |prices,2014100419,8630,9,0.0010428736964078794
price |price |Price |prices,2014100909,1000,0,0.0
price |price |Price |prices,2014100721,11447,11,9.609504673713636E-4
price |price |Price |prices,2014100722,8294,10,0.0012056908608632747
price |price |Price |prices,2014100720,10198,9,8.825259854873505E-4
price |price |Price |prices,2014100723,5300,4,7.547169811320754E-4
price |price |Price |prices,2014100520,14801,4,2.7025200999932435E-4
price |price |Price |prices,2014100523,12605,10,7.933359777865926E-4
price |price |Price |prices,2014100522,10915,1,9.161704076958314E-5
price |price |Price |prices,2014100521,14363,5,3.4811668871405696E-4
price |price |Price |prices,2014100623,8800,4,4.5454545454545455E-4
price |price |Price |prices,2014100622,9000,4,4.4444444444444447E-4
price |price |Price |prices,2014100621,9007,5,5.55123792605751E-4
price |price |Price |prices,2014100620,8998,6,6.668148477439431E-4
price |price |Price |prices,2014093011,9741,3,3.079765937788728E-4
price |price |Price |prices,2014093012,11191,9,8.042176749173443E-4
price |price |Price |prices,2014093013,5267,3,5.69584203531422E-4
price |price |Price |prices,2014093017,3899,4,0.0010259040779687098
price |price |Price |prices,2014093018,99,0,0.0
price |price |Price |prices,2014093019,8564,7,8.173750583839327E-4
