season |season |seasons,2014100223,8580,16,0.0018648018648018648
season |season |seasons,2014100513,8653,19,0.0021957702530914134
season |season |seasons,2014100417,9001,17,0.0018886790356627042
season |season |seasons,2014100512,7658,24,0.0031339775398276314
season |season |seasons,2014100908,14247,14,9.826630167754616E-4
season |season |seasons,2014100907,7751,14,0.0018062185524448458
season |season |seasons,2014100419,8630,21,0.002433371958285052
season |season |seasons,2014100909,1000,4,0.004
season |season |seasons,2014100721,11447,40,0.003494365335895868
season |season |seasons,2014100722,8294,33,0.003978779840848806
season |season |seasons,2014100720,10198,48,0.004706805255932536
season |season |seasons,2014100723,5300,17,0.0032075471698113206
season |season |seasons,2014100520,14801,39,0.0026349570974934125
season |season |seasons,2014100523,12605,25,0.0019833399444664813
season |season |seasons,2014100522,10915,28,0.002565277141548328
season |season |seasons,2014100521,14363,38,0.002645686834226833
season |season |seasons,2014100623,8800,10,0.0011363636363636363
season |season |seasons,2014100622,9000,21,0.0023333333333333335
season |season |seasons,2014100621,9007,26,0.0028866437215499057
season |season |seasons,2014100620,8998,18,0.0020004445432318294
season |season |seasons,2014093011,9741,27,0.002771789344009855
season |season |seasons,2014093012,11191,29,0.002591368063622554
season |season |seasons,2014093013,5267,8,0.0015188912094171254
season |season |seasons,2014093017,3899,7,0.0017953321364452424
season |season |seasons,2014093018,99,0,0.0
season |season |seasons,2014093019,8564,19,0.0022185894441849605
