home |home |homes,2014100223,8580,37,0.004312354312354313
home |home |homes,2014100708,5400,105,0.019444444444444445
home |home |homes,2014100814,6011,31,0.005157211778406255
home |home |homes,2014100705,2740,6,0.0021897810218978104
home |home |homes,2014100811,6604,41,0.006208358570563295
home |home |homes,2014100706,3398,9,0.00264861683343143
home |home |homes,2014100812,5896,111,0.018826322930800544
home |home |homes,2014100817,6743,29,0.004300756339908052
home |home |homes,2014100600,15771,32,0.0020290406442204046
home |home |homes,2014100703,5792,30,0.0051795580110497235
home |home |homes,2014100818,7400,45,0.006081081081081081
home |home |homes,2014100601,8669,25,0.0028838389664321146
home |home |homes,2014100704,3010,17,0.005647840531561462
home |home |homes,2014100815,5628,41,0.00728500355366027
home |home |homes,2014100701,13455,3,2.229654403567447E-4
home |home |homes,2014100816,7857,33,0.004200076365024819
home |home |homes,2014100702,8524,118,0.013843266072266542
home |home |homes,2014100509,9287,28,0.003014967158393453
home |home |homes,2014100508,6498,23,0.0035395506309633734
home |home |homes,2014100819,4300,33,0.007674418604651163
home |home |homes,2014100507,16911,10,5.913310862752055E-4
home |home |homes,2014100403,6749,10,0.001481700992739665
home |home |homes,2014100506,11836,10,8.448800270361609E-4
home |home |homes,2014100402,6613,7,0.0010585210948132466
home |home |homes,2014100505,6487,46,0.007091105287498073
home |home |homes,2014100401,4570,13,0.0028446389496717722
home |home |homes,2014100504,3861,42,0.010878010878010878
home |home |homes,2014100400,5285,16,0.0030274361400189215
home |home |homes,2014100503,4540,20,0.004405286343612335
home |home |homes,2014100709,5572,34,0.006101938262742283
home |home |homes,2014100407,7111,12,0.0016875263675994938
home |home |homes,2014100406,10763,16,0.001486574375174208
home |home |homes,2014100501,6148,25,0.004066363044892648
home |home |homes,2014100405,10366,7,6.752845842176346E-4
home |home |homes,2014100500,11540,34,0.0029462738301559792
home |home |homes,2014100404,3086,4,0.0012961762799740765
home |home |homes,2014100409,9932,24,0.0024164317358034634
home |home |homes,2014100408,10458,23,0.002199273283610633
home |home |homes,2014100903,4141,11,0.0026563631972953395
home |home |homes,2014100613,12260,54,0.004404567699836868
home |home |homes,2014100904,4854,3,6.180469715698393E-4
home |home |homes,2014100614,10247,56,0.0054650141504830685
home |home |homes,2014100905,7777,3,3.8575286100038574E-4
home |home |homes,2014100615,8801,51,0.005794796045903875
home |home |homes,2014100710,7431,38,0.005113712824653479
home |home |homes,2014100906,3505,6,0.0017118402282453639
home |home |homes,2014100616,10833,48,0.004430905566325118
home |home |homes,2014100711,13474,32,0.0023749443372420957
home |home |homes,2014100617,11523,63,0.005467326217130955
home |home |homes,2014100900,3864,21,0.005434782608695652
home |home |homes,2014100618,10834,56,0.005168912682296474
home |home |homes,2014100901,3052,17,0.005570117955439056
home |home |homes,2014100619,10472,52,0.004965622612681436
home |home |homes,2014100902,4916,9,0.0018307567127746134
home |home |homes,2014100716,9756,43,0.0044075440754407546
home |home |homes,2014100800,3418,18,0.0052662375658279695
home |home |homes,2014100717,12018,57,0.004742885671492761
home |home |homes,2014100801,4912,12,0.0024429967426710096
home |home |homes,2014100718,9824,66,0.006718241042345277
home |home |homes,2014100802,4582,2,4.3649061545176777E-4
home |home |homes,2014100719,8904,50,0.005615453728661276
home |home |homes,2014100803,4750,2,4.210526315789474E-4
home |home |homes,2014100712,10146,56,0.005519416518825153
home |home |homes,2014100804,8238,7,8.497208060208788E-4
home |home |homes,2014100610,8565,48,0.005604203152364273
home |home |homes,2014100713,7382,32,0.004334868599295584
home |home |homes,2014100805,6904,7,0.0010139049826187717
home |home |homes,2014100611,8676,49,0.005647763946519133
home |home |homes,2014100714,9294,38,0.004088659350118356
home |home |homes,2014100806,7696,7,9.095634095634096E-4
home |home |homes,2014100612,7761,54,0.006957866254348666
home |home |homes,2014100715,8494,36,0.004238285848834471
home |home |homes,2014100807,6298,13,0.00206414734836456
home |home |homes,2014100519,13547,58,0.004281390713811176
home |home |homes,2014100809,5933,20,0.0033709758975223325
home |home |homes,2014100518,12589,57,0.004527762332194773
home |home |homes,2014100808,7916,26,0.003284487114704396
home |home |homes,2014100410,8297,31,0.0037362902253826684
home |home |homes,2014100412,8252,35,0.004241396025206011
home |home |homes,2014100515,6526,57,0.008734293594851363
home |home |homes,2014100411,8736,46,0.005265567765567766
home |home |homes,2014100514,7337,51,0.006951069919585662
home |home |homes,2014100414,8029,42,0.0052310374891020054
home |home |homes,2014100517,16635,37,0.0022242260294559665
home |home |homes,2014100413,7649,31,0.004052817361746634
home |home |homes,2014100516,7164,60,0.008375209380234505
home |home |homes,2014100416,8535,48,0.00562390158172232
home |home |homes,2014100511,8203,32,0.0039010118249420945
home |home |homes,2014100415,9288,46,0.0049526270456503015
home |home |homes,2014100510,7389,28,0.0037894167005007445
home |home |homes,2014100418,8794,80,0.009097111667045714
home |home |homes,2014100513,8653,73,0.008436380446088063
home |home |homes,2014100417,9001,31,0.0034440617709143428
home |home |homes,2014100512,7658,38,0.004962131104727083
home |home |homes,2014100908,14247,24,0.0016845651716150768
home |home |homes,2014100907,7751,17,0.0021932653851115987
home |home |homes,2014100419,8630,124,0.01436848203939745
home |home |homes,2014100909,1000,5,0.005
home |home |homes,2014100721,11447,47,0.004105879269677645
home |home |homes,2014100722,8294,42,0.0050639016156257535
home |home |homes,2014100720,10198,52,0.0050990390272602475
home |home |homes,2014100723,5300,29,0.005471698113207547
home |home |homes,2014100520,14801,54,0.003648402134990879
home |home |homes,2014100523,12605,40,0.0031733439111463705
home |home |homes,2014100522,10915,36,0.003298213467704993
home |home |homes,2014100521,14363,63,0.004386270277797117
home |home |homes,2014100623,8800,26,0.0029545454545454545
home |home |homes,2014100622,9000,50,0.005555555555555556
home |home |homes,2014100621,9007,43,0.00477406461640946
home |home |homes,2014100620,8998,51,0.005667926205823516
home |home |homes,2014093011,9741,30,0.003079765937788728
home |home |homes,2014093012,11191,55,0.004914663568939326
home |home |homes,2014093013,5267,16,0.003037782418834251
home |home |homes,2014093017,3899,19,0.004873044370351372
home |home |homes,2014093018,99,0,0.0
home |home |homes,2014093019,8564,43,0.005021018215787015
