information |Information |information,2014100223,8580,4,4.662004662004662E-4
information |Information |information,2014100111,9571,9,9.403406122662209E-4
information |Information |information,2014100110,9126,18,0.0019723865877712033
information |Information |information,2014100823,5727,1,1.7461148943600488E-4
information |Information |information,2014100113,11543,9,7.7969332062722E-4
information |Information |information,2014100822,900,0,0.0
information |Information |information,2014100112,11651,9,7.724658827568449E-4
information |Information |information,2014100119,11403,16,0.001403139524686486
information |Information |information,2014100118,10294,10,9.714396735962696E-4
information |Information |information,2014100604,4638,1,2.1561017680034498E-4
information |Information |information,2014100605,8675,0,0.0
information |Information |information,2014100700,5207,2,3.840983291722681E-4
information |Information |information,2014100914,3191,0,0.0
information |Information |information,2014100602,8176,2,2.446183953033268E-4
information |Information |information,2014100915,1000,0,0.0
information |Information |information,2014100603,9384,2,2.1312872975277067E-4
information |Information |information,2014100912,2545,2,7.858546168958742E-4
information |Information |information,2014100608,13680,9,6.578947368421052E-4
information |Information |information,2014100913,6771,3,4.4306601683650863E-4
information |Information |information,2014100609,13287,6,4.515692029803567E-4
information |Information |information,2014100810,6053,6,9.912440112340988E-4
information |Information |information,2014100606,4334,2,4.6146746654360867E-4
information |Information |information,2014100607,6194,1,1.6144656118824668E-4
information |Information |information,2014100707,4802,6,0.0012494793835901709
information |Information |information,2014100813,7061,5,7.08114997875655E-4
information |Information |information,2014100708,5400,0,0.0
information |Information |information,2014100814,6011,4,6.654466810846781E-4
information |Information |information,2014100705,2740,1,3.64963503649635E-4
information |Information |information,2014100811,6604,1,1.5142337976983646E-4
information |Information |information,2014100706,3398,1,2.942907592701589E-4
information |Information |information,2014100812,5896,7,0.0011872455902306649
information |Information |information,2014100817,6743,1,1.4830194275545008E-4
information |Information |information,2014100600,15771,1,6.340752013188764E-5
information |Information |information,2014100703,5792,1,1.7265193370165745E-4
information |Information |information,2014100818,7400,2,2.702702702702703E-4
information |Information |information,2014100601,8669,1,1.1535355865728458E-4
information |Information |information,2014100704,3010,0,0.0
information |Information |information,2014100815,5628,5,8.884150675195451E-4
information |Information |information,2014100701,13455,1,7.432181345224824E-5
information |Information |information,2014100816,7857,5,6.363752068219422E-4
information |Information |information,2014100702,8524,0,0.0
information |Information |information,2014100509,9287,1,1.076773985140519E-4
information |Information |information,2014100508,6498,2,3.077870113881194E-4
information |Information |information,2014100819,4300,3,6.976744186046512E-4
information |Information |information,2014100507,16911,0,0.0
information |Information |information,2014100403,6749,3,4.4451029782189953E-4
information |Information |information,2014100506,11836,1,8.448800270361608E-5
information |Information |information,2014100402,6613,2,3.0243459851807047E-4
information |Information |information,2014100505,6487,0,0.0
information |Information |information,2014100401,4570,0,0.0
information |Information |information,2014100504,3861,0,0.0
information |Information |information,2014100400,5285,5,9.46073793755913E-4
information |Information |information,2014100503,4540,0,0.0
information |Information |information,2014100709,5572,3,5.384063173007897E-4
information |Information |information,2014100407,7111,1,1.406271972999578E-4
information |Information |information,2014100406,10763,0,0.0
information |Information |information,2014100501,6148,0,0.0
information |Information |information,2014100405,10366,0,0.0
information |Information |information,2014100500,11540,1,8.665511265164645E-5
information |Information |information,2014100404,3086,3,9.721322099805574E-4
information |Information |information,2014100409,9932,2,2.013693113169553E-4
information |Information |information,2014100408,10458,1,9.562057754828839E-5
information |Information |information,2014100903,4141,0,0.0
information |Information |information,2014100613,12260,2,1.631321370309951E-4
information |Information |information,2014100904,4854,0,0.0
information |Information |information,2014100614,10247,3,2.927686152044501E-4
information |Information |information,2014100905,7777,0,0.0
information |Information |information,2014100615,8801,5,5.681172594023407E-4
information |Information |information,2014100710,7431,2,2.6914278024491994E-4
information |Information |information,2014100906,3505,0,0.0
information |Information |information,2014100616,10833,4,3.6924213052709313E-4
information |Information |information,2014100711,13474,15,0.0011132551580822325
information |Information |information,2014100617,11523,7,6.074806907923284E-4
information |Information |information,2014100900,3864,2,5.175983436853002E-4
information |Information |information,2014100618,10834,13,0.001199926158390253
information |Information |information,2014100901,3052,0,0.0
information |Information |information,2014100619,10472,4,3.819709702062643E-4
information |Information |information,2014100902,4916,0,0.0
information |Information |information,2014100716,9756,3,3.075030750307503E-4
information |Information |information,2014100800,3418,0,0.0
information |Information |information,2014100717,12018,13,0.0010817107671825595
information |Information |information,2014100801,4912,2,4.0716612377850165E-4
information |Information |information,2014100718,9824,3,3.053745928338762E-4
information |Information |information,2014100802,4582,0,0.0
information |Information |information,2014100719,8904,2,2.2461814914645105E-4
information |Information |information,2014100803,4750,1,2.105263157894737E-4
information |Information |information,2014100712,10146,5,4.928050463236743E-4
information |Information |information,2014100804,8238,1,1.2138868657441127E-4
information |Information |information,2014100610,8565,4,4.670169293636894E-4
information |Information |information,2014100713,7382,5,6.77323218639935E-4
information |Information |information,2014100805,6904,4,5.793742757821553E-4
information |Information |information,2014100611,8676,4,4.610419548178884E-4
information |Information |information,2014100714,9294,7,7.53174090811276E-4
information |Information |information,2014100806,7696,1,1.2993762993762994E-4
information |Information |information,2014100612,7761,0,0.0
information |Information |information,2014100715,8494,8,9.418412997409936E-4
information |Information |information,2014100807,6298,4,6.351222610352493E-4
information |Information |information,2014100519,13547,9,6.643537314534584E-4
information |Information |information,2014100809,5933,6,0.0010112927692566998
information |Information |information,2014100518,12589,1,7.943442688061006E-5
information |Information |information,2014100808,7916,3,3.7897928246589187E-4
information |Information |information,2014100410,8297,7,8.436784379896348E-4
information |Information |information,2014100412,8252,4,4.847309743092584E-4
information |Information |information,2014100515,6526,0,0.0
information |Information |information,2014100411,8736,0,0.0
information |Information |information,2014100514,7337,0,0.0
information |Information |information,2014100414,8029,1,1.2454851164528583E-4
information |Information |information,2014100517,16635,3,1.8034265103697024E-4
information |Information |information,2014100413,7649,2,2.6147208785462153E-4
information |Information |information,2014100516,7164,4,5.583472920156337E-4
information |Information |information,2014100416,8535,1,1.1716461628588167E-4
information |Information |information,2014100511,8203,1,1.2190661952944045E-4
information |Information |information,2014100415,9288,0,0.0
information |Information |information,2014100510,7389,5,6.766815536608473E-4
information |Information |information,2014100418,8794,4,4.5485558335228563E-4
information |Information |information,2014100513,8653,4,4.6226742170345545E-4
information |Information |information,2014100417,9001,3,3.3329630041106545E-4
information |Information |information,2014100512,7658,2,2.6116479498563595E-4
information |Information |information,2014100908,14247,2,1.4038043096792306E-4
information |Information |information,2014100907,7751,2,2.580312217778351E-4
information |Information |information,2014100419,8630,2,2.317497103128621E-4
information |Information |information,2014100909,1000,0,0.0
information |Information |information,2014100721,11447,11,9.609504673713636E-4
information |Information |information,2014100722,8294,5,6.028454304316373E-4
information |Information |information,2014100720,10198,2,1.9611688566385565E-4
information |Information |information,2014100723,5300,2,3.773584905660377E-4
information |Information |information,2014100520,14801,5,3.3781501249915546E-4
information |Information |information,2014100523,12605,6,4.760015866719556E-4
information |Information |information,2014100522,10915,6,5.497022446174989E-4
information |Information |information,2014100521,14363,3,2.0887001322843416E-4
information |Information |information,2014100623,8800,6,6.818181818181819E-4
information |Information |information,2014100622,9000,18,0.002
information |Information |information,2014100621,9007,14,0.001554346619296103
information |Information |information,2014100620,8998,5,5.556790397866192E-4
information |Information |information,2014093011,9741,13,0.0013345652397084489
information |Information |information,2014093012,11191,11,9.829327137878653E-4
information |Information |information,2014093013,5267,2,3.7972280235428136E-4
information |Information |information,2014093017,3899,4,0.0010259040779687098
information |Information |information,2014093018,99,0,0.0
information |Information |information,2014093019,8564,6,7.006071929005138E-4
