war |wars |war,2014100223,8580,8,9.324009324009324E-4
war |wars |war,2014100802,4582,2,4.3649061545176777E-4
war |wars |war,2014100719,8904,13,0.0014600179694519318
war |wars |war,2014100803,4750,5,0.0010526315789473684
war |wars |war,2014100712,10146,20,0.001971220185294697
war |wars |war,2014100804,8238,2,2.4277737314882253E-4
war |wars |war,2014100610,8565,27,0.0031523642732049035
war |wars |war,2014100713,7382,11,0.001490111081007857
war |wars |war,2014100805,6904,2,2.8968713789107763E-4
war |wars |war,2014100611,8676,21,0.0024204702627939143
war |wars |war,2014100714,9294,22,0.0023671185711211535
war |wars |war,2014100806,7696,5,6.496881496881497E-4
war |wars |war,2014100612,7761,16,0.002061590001288494
war |wars |war,2014100715,8494,18,0.0021191429244172355
war |wars |war,2014100807,6298,7,0.0011114639568116863
war |wars |war,2014100519,13547,41,0.0030265003321768656
war |wars |war,2014100809,5933,12,0.0020225855385133996
war |wars |war,2014100518,12589,40,0.003177377075224402
war |wars |war,2014100808,7916,6,7.579585649317837E-4
war |wars |war,2014100410,8297,6,7.231529468482585E-4
war |wars |war,2014100412,8252,14,0.0016965584100824044
war |wars |war,2014100515,6526,12,0.0018387986515476554
war |wars |war,2014100411,8736,6,6.868131868131869E-4
war |wars |war,2014100514,7337,9,0.0012266593975739403
war |wars |war,2014100414,8029,10,0.0012454851164528584
war |wars |war,2014100517,16635,42,0.0025247971145175834
war |wars |war,2014100413,7649,17,0.002222512746764283
war |wars |war,2014100516,7164,24,0.0033500837520938024
war |wars |war,2014100416,8535,6,7.0298769771529E-4
war |wars |war,2014100511,8203,12,0.0014628794343532854
war |wars |war,2014100415,9288,4,4.306632213608958E-4
war |wars |war,2014100510,7389,15,0.0020300446609825416
war |wars |war,2014100418,8794,14,0.0015919945417329998
war |wars |war,2014100513,8653,17,0.0019646365422396855
war |wars |war,2014100417,9001,10,0.0011109876680368848
war |wars |war,2014100512,7658,16,0.0020893183598850876
war |wars |war,2014100908,14247,222,0.01558222783743946
war |wars |war,2014100907,7751,145,0.018707263578893046
war |wars |war,2014100419,8630,20,0.002317497103128621
war |wars |war,2014100909,1000,18,0.018
war |wars |war,2014100721,11447,20,0.001747182667947934
war |wars |war,2014100722,8294,8,9.645526886906198E-4
war |wars |war,2014100720,10198,15,0.0014708766424789174
war |wars |war,2014100723,5300,13,0.0024528301886792454
war |wars |war,2014100520,14801,39,0.0026349570974934125
war |wars |war,2014100523,12605,35,0.002776675922253074
war |wars |war,2014100522,10915,23,0.002107191937700412
war |wars |war,2014100521,14363,28,0.001949453456798719
war |wars |war,2014100623,8800,14,0.001590909090909091
war |wars |war,2014100622,9000,19,0.002111111111111111
war |wars |war,2014100621,9007,30,0.0033307427556345066
war |wars |war,2014100620,8998,13,0.00144476550344521
war |wars |war,2014093011,9741,1,1.026588645929576E-4
war |wars |war,2014093012,11191,9,8.042176749173443E-4
war |wars |war,2014093013,5267,10,0.0018986140117714068
war |wars |war,2014093017,3899,3,7.694280584765325E-4
war |wars |war,2014093018,99,0,0.0
war |wars |war,2014093019,8564,11,0.0012844465203176085
