rate |rate |rates,2014100223,8580,7,8.158508158508159E-4
rate |rate |rates,2014100216,10725,11,0.0010256410256410256
rate |rate |rates,2014100312,10661,6,5.627989869618235E-4
rate |rate |rates,2014100217,9835,6,6.100660904931368E-4
rate |rate |rates,2014100313,9887,3,3.034287448164256E-4
rate |rate |rates,2014100218,9907,5,5.04693650953871E-4
rate |rate |rates,2014100314,9820,6,6.109979633401223E-4
rate |rate |rates,2014100219,11100,4,3.6036036036036037E-4
rate |rate |rates,2014100420,8163,8,9.800318510351587E-4
rate |rate |rates,2014100315,10271,1,9.736150326161036E-5
rate |rate |rates,2014100120,12122,5,4.124731892426992E-4
rate |rate |rates,2014100421,8099,3,3.704161007531794E-4
rate |rate |rates,2014100422,8432,0,0.0
rate |rate |rates,2014100423,6306,2,3.171582619727244E-4
rate |rate |rates,2014100310,10343,2,1.9336749492410325E-4
rate |rate |rates,2014100311,11400,9,7.894736842105263E-4
rate |rate |rates,2014100115,14152,6,4.2396834369700395E-4
rate |rate |rates,2014100114,11535,7,6.068487212830516E-4
rate |rate |rates,2014100117,11365,9,7.919049714034316E-4
rate |rate |rates,2014100116,10904,13,0.0011922230374174616
rate |rate |rates,2014100111,9571,9,9.403406122662209E-4
rate |rate |rates,2014100110,9126,13,0.0014245014245014246
rate |rate |rates,2014100823,5727,6,0.0010476689366160294
rate |rate |rates,2014100113,11543,6,5.197955470848133E-4
rate |rate |rates,2014100822,900,0,0.0
rate |rate |rates,2014100112,11651,5,4.291477126426916E-4
rate |rate |rates,2014100119,11403,5,4.384811014645269E-4
rate |rate |rates,2014100118,10294,4,3.885758694385079E-4
rate |rate |rates,2014100604,4638,9,0.0019404915912031048
rate |rate |rates,2014100605,8675,1,1.1527377521613833E-4
rate |rate |rates,2014100700,5207,4,7.681966583445362E-4
rate |rate |rates,2014100914,3191,4,0.0012535255405828893
rate |rate |rates,2014100602,8176,7,8.561643835616438E-4
rate |rate |rates,2014100915,1000,0,0.0
rate |rate |rates,2014100603,9384,0,0.0
rate |rate |rates,2014100912,2545,6,0.002357563850687623
rate |rate |rates,2014100608,13680,7,5.116959064327486E-4
rate |rate |rates,2014100913,6771,4,5.907546891153448E-4
rate |rate |rates,2014100609,13287,8,6.020922706404757E-4
rate |rate |rates,2014100810,6053,13,0.0021476953576738808
rate |rate |rates,2014100606,4334,1,2.3073373327180433E-4
rate |rate |rates,2014100607,6194,4,6.457862447529867E-4
rate |rate |rates,2014100707,4802,11,0.0022907122032486465
rate |rate |rates,2014100813,7061,2,2.83245999150262E-4
rate |rate |rates,2014100708,5400,12,0.0022222222222222222
rate |rate |rates,2014100814,6011,5,8.318083513558476E-4
rate |rate |rates,2014100705,2740,3,0.0010948905109489052
rate |rate |rates,2014100811,6604,9,0.0013628104179285283
rate |rate |rates,2014100706,3398,2,5.885815185403178E-4
rate |rate |rates,2014100812,5896,8,0.0013568521031207597
rate |rate |rates,2014100817,6743,9,0.001334717484799051
rate |rate |rates,2014100600,15771,3,1.9022256039566293E-4
rate |rate |rates,2014100703,5792,1,1.7265193370165745E-4
rate |rate |rates,2014100818,7400,6,8.108108108108108E-4
rate |rate |rates,2014100601,8669,1,1.1535355865728458E-4
rate |rate |rates,2014100704,3010,2,6.64451827242525E-4
rate |rate |rates,2014100815,5628,12,0.0021321961620469083
rate |rate |rates,2014100701,13455,1,7.432181345224824E-5
rate |rate |rates,2014100816,7857,8,0.0010182003309151075
rate |rate |rates,2014100702,8524,1,1.1731581417175035E-4
rate |rate |rates,2014100509,9287,4,4.307095940562076E-4
rate |rate |rates,2014100508,6498,1,1.538935056940597E-4
rate |rate |rates,2014100819,4300,7,0.0016279069767441861
rate |rate |rates,2014100507,16911,0,0.0
rate |rate |rates,2014100403,6749,2,2.96340198547933E-4
rate |rate |rates,2014100506,11836,0,0.0
rate |rate |rates,2014100402,6613,0,0.0
rate |rate |rates,2014100505,6487,0,0.0
rate |rate |rates,2014100401,4570,0,0.0
rate |rate |rates,2014100504,3861,2,5.18000518000518E-4
rate |rate |rates,2014100400,5285,0,0.0
rate |rate |rates,2014100503,4540,0,0.0
rate |rate |rates,2014100709,5572,16,0.002871500358937545
rate |rate |rates,2014100407,7111,0,0.0
rate |rate |rates,2014100406,10763,1,9.2910898448388E-5
rate |rate |rates,2014100501,6148,4,6.506180871828237E-4
rate |rate |rates,2014100405,10366,0,0.0
rate |rate |rates,2014100500,11540,2,1.733102253032929E-4
rate |rate |rates,2014100404,3086,1,3.240440699935191E-4
rate |rate |rates,2014100409,9932,7,7.047925896093435E-4
rate |rate |rates,2014100408,10458,4,3.8248231019315357E-4
rate |rate |rates,2014100903,4141,1,2.414875633904854E-4
rate |rate |rates,2014100613,12260,13,0.0010603588907014683
rate |rate |rates,2014100904,4854,1,2.0601565718994644E-4
rate |rate |rates,2014100614,10247,10,9.758953840148336E-4
rate |rate |rates,2014100905,7777,2,2.5716857400025716E-4
rate |rate |rates,2014100615,8801,12,0.0013634814225656176
rate |rate |rates,2014100710,7431,17,0.0022877136320818194
rate |rate |rates,2014100906,3505,3,8.559201141226819E-4
rate |rate |rates,2014100616,10833,9,8.307947936859596E-4
rate |rate |rates,2014100711,13474,13,9.648211370046015E-4
rate |rate |rates,2014100617,11523,19,0.0016488761607220343
rate |rate |rates,2014100900,3864,6,0.0015527950310559005
rate |rate |rates,2014100618,10834,15,0.0013845301827579842
rate |rate |rates,2014100901,3052,1,3.27653997378768E-4
rate |rate |rates,2014100619,10472,5,4.774637127578304E-4
rate |rate |rates,2014100902,4916,0,0.0
rate |rate |rates,2014100716,9756,19,0.001947519475194752
rate |rate |rates,2014100800,3418,1,2.925687536571094E-4
rate |rate |rates,2014100717,12018,6,4.992511233150275E-4
rate |rate |rates,2014100801,4912,0,0.0
rate |rate |rates,2014100718,9824,22,0.002239413680781759
rate |rate |rates,2014100802,4582,0,0.0
rate |rate |rates,2014100719,8904,13,0.0014600179694519318
rate |rate |rates,2014100803,4750,0,0.0
rate |rate |rates,2014100712,10146,18,0.0017740981667652277
rate |rate |rates,2014100804,8238,1,1.2138868657441127E-4
rate |rate |rates,2014100610,8565,6,7.005253940455342E-4
rate |rate |rates,2014100713,7382,5,6.77323218639935E-4
rate |rate |rates,2014100805,6904,1,1.4484356894553882E-4
rate |rate |rates,2014100611,8676,16,0.0018441678192715537
rate |rate |rates,2014100714,9294,70,0.007531740908112761
rate |rate |rates,2014100806,7696,0,0.0
rate |rate |rates,2014100612,7761,4,5.153975003221235E-4
rate |rate |rates,2014100715,8494,27,0.0031787143866258537
rate |rate |rates,2014100807,6298,3,4.76341695776437E-4
rate |rate |rates,2014100519,13547,6,4.429024876356389E-4
rate |rate |rates,2014100809,5933,6,0.0010112927692566998
rate |rate |rates,2014100518,12589,6,4.7660656128366036E-4
rate |rate |rates,2014100808,7916,5,6.316321374431531E-4
rate |rate |rates,2014100410,8297,5,6.02627455706882E-4
rate |rate |rates,2014100412,8252,7,8.482792050412022E-4
rate |rate |rates,2014100515,6526,3,4.5969966288691386E-4
rate |rate |rates,2014100411,8736,5,5.723443223443224E-4
rate |rate |rates,2014100514,7337,6,8.177729317159602E-4
rate |rate |rates,2014100414,8029,10,0.0012454851164528584
rate |rate |rates,2014100517,16635,1,6.0114217012323416E-5
rate |rate |rates,2014100413,7649,1,1.3073604392731077E-4
rate |rate |rates,2014100516,7164,6,8.375209380234506E-4
rate |rate |rates,2014100416,8535,16,0.0018746338605741067
rate |rate |rates,2014100511,8203,1,1.2190661952944045E-4
rate |rate |rates,2014100415,9288,6,6.459948320413437E-4
rate |rate |rates,2014100510,7389,1,1.3533631073216944E-4
rate |rate |rates,2014100418,8794,4,4.5485558335228563E-4
rate |rate |rates,2014100513,8653,7,8.089679879810471E-4
rate |rate |rates,2014100417,9001,4,4.4439506721475393E-4
rate |rate |rates,2014100512,7658,2,2.6116479498563595E-4
rate |rate |rates,2014100908,14247,7,4.913315083877308E-4
rate |rate |rates,2014100907,7751,4,5.160624435556702E-4
rate |rate |rates,2014100419,8630,8,9.269988412514484E-4
rate |rate |rates,2014100909,1000,2,0.002
rate |rate |rates,2014100721,11447,8,6.988730671791736E-4
rate |rate |rates,2014100722,8294,4,4.822763443453099E-4
rate |rate |rates,2014100720,10198,9,8.825259854873505E-4
rate |rate |rates,2014100723,5300,4,7.547169811320754E-4
rate |rate |rates,2014100520,14801,6,4.0537801499898656E-4
rate |rate |rates,2014100523,12605,6,4.760015866719556E-4
rate |rate |rates,2014100522,10915,4,3.664681630783326E-4
rate |rate |rates,2014100521,14363,6,4.177400264568683E-4
rate |rate |rates,2014100623,8800,14,0.001590909090909091
rate |rate |rates,2014100622,9000,34,0.003777777777777778
rate |rate |rates,2014100621,9007,10,0.001110247585211502
rate |rate |rates,2014100620,8998,4,4.445432318292954E-4
rate |rate |rates,2014093011,9741,7,7.186120521507032E-4
rate |rate |rates,2014093012,11191,9,8.042176749173443E-4
rate |rate |rates,2014093013,5267,5,9.493070058857034E-4
rate |rate |rates,2014093017,3899,2,5.129520389843549E-4
rate |rate |rates,2014093018,99,0,0.0
rate |rate |rates,2014093019,8564,9,0.0010509107893507707
