car |car |cars,2014100223,8580,35,0.004079254079254079
car |car |cars,2014100313,9887,98,0.009912005664003236
car |car |cars,2014100218,9907,52,0.0052488139699202584
car |car |cars,2014100314,9820,100,0.010183299389002037
car |car |cars,2014100219,11100,28,0.0025225225225225223
car |car |cars,2014100420,8163,30,0.003675119441381845
car |car |cars,2014100315,10271,184,0.017914516600136307
car |car |cars,2014100120,12122,19,0.001567398119122257
car |car |cars,2014100421,8099,23,0.002839856772441042
car |car |cars,2014100422,8432,16,0.0018975332068311196
car |car |cars,2014100423,6306,17,0.0026958452267681573
car |car |cars,2014100310,10343,23,0.0022237261916271873
car |car |cars,2014100311,11400,16,0.0014035087719298245
car |car |cars,2014100115,14152,20,0.0014132278123233466
car |car |cars,2014100114,11535,18,0.0015604681404421327
car |car |cars,2014100117,11365,15,0.0013198416190057193
car |car |cars,2014100116,10904,17,0.0015590608950843726
car |car |cars,2014100111,9571,21,0.002194128095287849
car |car |cars,2014100110,9126,16,0.0017532325224632918
car |car |cars,2014100823,5727,11,0.0019207263837960537
car |car |cars,2014100113,11543,17,0.0014727540500736377
car |car |cars,2014100822,900,2,0.0022222222222222222
car |car |cars,2014100112,11651,15,0.0012874431379280749
car |car |cars,2014100119,11403,14,0.0012277470841006752
car |car |cars,2014100118,10294,14,0.0013600155430347775
car |car |cars,2014100604,4638,4,8.624407072013799E-4
car |car |cars,2014100605,8675,9,0.001037463976945245
car |car |cars,2014100700,5207,5,9.602458229306702E-4
car |car |cars,2014100914,3191,6,0.001880288310874334
car |car |cars,2014100602,8176,10,0.001223091976516634
car |car |cars,2014100915,1000,2,0.002
car |car |cars,2014100603,9384,4,4.2625745950554135E-4
car |car |cars,2014100912,2545,9,0.003536345776031434
car |car |cars,2014100608,13680,20,0.0014619883040935672
car |car |cars,2014100913,6771,21,0.0031014621178555605
car |car |cars,2014100609,13287,17,0.0012794460751110108
car |car |cars,2014100810,6053,14,0.002312902692879564
car |car |cars,2014100606,4334,6,0.0013844023996308261
car |car |cars,2014100607,6194,15,0.0024216984178237005
car |car |cars,2014100707,4802,13,0.0027072053311120365
car |car |cars,2014100813,7061,19,0.002690836991927489
car |car |cars,2014100708,5400,14,0.0025925925925925925
car |car |cars,2014100814,6011,7,0.0011645316918981866
car |car |cars,2014100705,2740,4,0.00145985401459854
car |car |cars,2014100811,6604,10,0.0015142337976983646
car |car |cars,2014100706,3398,8,0.002354326074161271
car |car |cars,2014100812,5896,18,0.0030529172320217096
car |car |cars,2014100817,6743,19,0.002817736912353552
car |car |cars,2014100600,15771,20,0.0012681504026377528
car |car |cars,2014100703,5792,4,6.906077348066298E-4
car |car |cars,2014100818,7400,28,0.0037837837837837837
car |car |cars,2014100601,8669,25,0.0028838389664321146
car |car |cars,2014100704,3010,7,0.002325581395348837
car |car |cars,2014100815,5628,16,0.0028429282160625444
car |car |cars,2014100701,13455,2,1.4864362690449647E-4
car |car |cars,2014100816,7857,14,0.0017818505791014382
car |car |cars,2014100702,8524,4,4.692632566870014E-4
car |car |cars,2014100509,9287,27,0.002907289759879401
car |car |cars,2014100508,6498,16,0.0024622960911049553
car |car |cars,2014100819,4300,15,0.0034883720930232558
car |car |cars,2014100507,16911,9,5.321979776476849E-4
car |car |cars,2014100403,6749,73,0.010816417246999556
car |car |cars,2014100506,11836,11,9.293680297397769E-4
car |car |cars,2014100402,6613,45,0.006804778466656586
car |car |cars,2014100505,6487,4,6.16617851086789E-4
car |car |cars,2014100401,4570,43,0.009409190371991246
car |car |cars,2014100504,3861,5,0.001295001295001295
car |car |cars,2014100400,5285,39,0.007379375591296121
car |car |cars,2014100503,4540,10,0.0022026431718061676
car |car |cars,2014100709,5572,16,0.002871500358937545
car |car |cars,2014100407,7111,28,0.003937561524398819
car |car |cars,2014100406,10763,34,0.003158970547245192
car |car |cars,2014100501,6148,22,0.0035783994795055302
car |car |cars,2014100405,10366,25,0.0024117306579201233
car |car |cars,2014100500,11540,18,0.001559792027729636
car |car |cars,2014100404,3086,27,0.008749189889825017
car |car |cars,2014100409,9932,24,0.0024164317358034634
car |car |cars,2014100408,10458,27,0.0025817555938037868
car |car |cars,2014100903,4141,2,4.829751267809708E-4
car |car |cars,2014100613,12260,18,0.001468189233278956
car |car |cars,2014100904,4854,4,8.240626287597857E-4
car |car |cars,2014100614,10247,17,0.0016590221528252171
car |car |cars,2014100905,7777,2,2.5716857400025716E-4
car |car |cars,2014100615,8801,24,0.0027269628451312353
car |car |cars,2014100710,7431,20,0.0026914278024491992
car |car |cars,2014100906,3505,2,5.706134094151213E-4
car |car |cars,2014100616,10833,18,0.001661589587371919
car |car |cars,2014100711,13474,14,0.0010390381475434169
car |car |cars,2014100617,11523,20,0.0017356591165495097
car |car |cars,2014100900,3864,17,0.004399585921325052
car |car |cars,2014100618,10834,25,0.0023075503045966402
car |car |cars,2014100901,3052,3,9.82961992136304E-4
car |car |cars,2014100619,10472,27,0.0025783040488922843
car |car |cars,2014100902,4916,2,4.068348250610252E-4
car |car |cars,2014100716,9756,9,9.225092250922509E-4
car |car |cars,2014100800,3418,4,0.0011702750146284377
car |car |cars,2014100717,12018,19,0.001580961890497587
car |car |cars,2014100801,4912,6,0.0012214983713355048
car |car |cars,2014100718,9824,17,0.0017304560260586318
car |car |cars,2014100802,4582,0,0.0
car |car |cars,2014100719,8904,8,8.984725965858042E-4
car |car |cars,2014100803,4750,5,0.0010526315789473684
car |car |cars,2014100712,10146,12,0.0011827321111768185
car |car |cars,2014100804,8238,4,4.8555474629764507E-4
car |car |cars,2014100610,8565,23,0.0026853473438412144
car |car |cars,2014100713,7382,13,0.001761040368463831
car |car |cars,2014100805,6904,2,2.8968713789107763E-4
car |car |cars,2014100611,8676,9,0.001037344398340249
car |car |cars,2014100714,9294,15,0.0016139444803098773
car |car |cars,2014100806,7696,9,0.0011694386694386695
car |car |cars,2014100612,7761,10,0.0012884937508053087
car |car |cars,2014100715,8494,14,0.0016482222745467388
car |car |cars,2014100807,6298,10,0.0015878056525881232
car |car |cars,2014100519,13547,81,0.005979183583081125
car |car |cars,2014100809,5933,15,0.0025282319231417494
car |car |cars,2014100518,12589,29,0.0023035983795376917
car |car |cars,2014100808,7916,14,0.0017685699848408287
car |car |cars,2014100410,8297,30,0.003615764734241292
car |car |cars,2014100412,8252,35,0.004241396025206011
car |car |cars,2014100515,6526,15,0.0022984983144345695
car |car |cars,2014100411,8736,38,0.00434981684981685
car |car |cars,2014100514,7337,10,0.001362954886193267
car |car |cars,2014100414,8029,19,0.002366421721260431
car |car |cars,2014100517,16635,91,0.005470393748121431
car |car |cars,2014100413,7649,35,0.004575761537455877
car |car |cars,2014100516,7164,32,0.00446677833612507
car |car |cars,2014100416,8535,22,0.0025776215582893965
car |car |cars,2014100511,8203,18,0.002194319151529928
car |car |cars,2014100415,9288,28,0.0030146425495262705
car |car |cars,2014100510,7389,11,0.0014886994180538639
car |car |cars,2014100418,8794,34,0.003866272458494428
car |car |cars,2014100513,8653,19,0.0021957702530914134
car |car |cars,2014100417,9001,23,0.002555271636484835
car |car |cars,2014100512,7658,19,0.0024810655523635414
car |car |cars,2014100908,14247,13,9.124728012915E-4
car |car |cars,2014100907,7751,5,6.450780544445878E-4
car |car |cars,2014100419,8630,31,0.0035921205098493627
car |car |cars,2014100909,1000,1,0.001
car |car |cars,2014100721,11447,14,0.0012230278675635538
car |car |cars,2014100722,8294,18,0.0021702435495538942
car |car |cars,2014100720,10198,18,0.001765051970974701
car |car |cars,2014100723,5300,8,0.0015094339622641509
car |car |cars,2014100520,14801,47,0.0031754611174920613
car |car |cars,2014100523,12605,34,0.002697342324474415
car |car |cars,2014100522,10915,29,0.002656894182317911
car |car |cars,2014100521,14363,60,0.004177400264568683
car |car |cars,2014100623,8800,10,0.0011363636363636363
car |car |cars,2014100622,9000,23,0.0025555555555555557
car |car |cars,2014100621,9007,27,0.002997668480071056
car |car |cars,2014100620,8998,32,0.003556345854634363
car |car |cars,2014093011,9741,12,0.0012319063751154912
car |car |cars,2014093012,11191,35,0.003127513180234117
car |car |cars,2014093013,5267,20,0.0037972280235428137
car |car |cars,2014093017,3899,5,0.0012823800974608873
car |car |cars,2014093018,99,0,0.0
car |car |cars,2014093019,8564,14,0.0016347501167678655
