patient |patients |patient,2014100223,8580,1,1.1655011655011655E-4
patient |patients |patient,2014100420,8163,1,1.2250398137939484E-4
patient |patients |patient,2014100315,10271,5,4.868075163080518E-4
patient |patients |patient,2014100120,12122,3,2.474839135456195E-4
patient |patients |patient,2014100421,8099,3,3.704161007531794E-4
patient |patients |patient,2014100422,8432,3,3.557874762808349E-4
patient |patients |patient,2014100423,6306,1,1.585791309863622E-4
patient |patients |patient,2014100310,10343,5,4.8341873731025815E-4
patient |patients |patient,2014100311,11400,2,1.7543859649122806E-4
patient |patients |patient,2014100115,14152,2,1.4132278123233464E-4
patient |patients |patient,2014100114,11535,1,8.669267446900737E-5
patient |patients |patient,2014100117,11365,4,3.519577650681918E-4
patient |patients |patient,2014100116,10904,3,2.751283932501834E-4
patient |patients |patient,2014100111,9571,1,1.0448229025180232E-4
patient |patients |patient,2014100110,9126,3,3.287310979618672E-4
patient |patients |patient,2014100823,5727,3,5.238344683080147E-4
patient |patients |patient,2014100113,11543,2,1.7326518236160444E-4
patient |patients |patient,2014100822,900,0,0.0
patient |patients |patient,2014100112,11651,3,2.57488627585615E-4
patient |patients |patient,2014100119,11403,2,1.7539244058581075E-4
patient |patients |patient,2014100118,10294,3,2.914319020788809E-4
patient |patients |patient,2014100604,4638,0,0.0
patient |patients |patient,2014100605,8675,4,4.610951008645533E-4
patient |patients |patient,2014100700,5207,0,0.0
patient |patients |patient,2014100914,3191,3,9.40144155437167E-4
patient |patients |patient,2014100602,8176,0,0.0
patient |patients |patient,2014100915,1000,0,0.0
patient |patients |patient,2014100603,9384,0,0.0
patient |patients |patient,2014100912,2545,2,7.858546168958742E-4
patient |patients |patient,2014100608,13680,3,2.192982456140351E-4
patient |patients |patient,2014100913,6771,10,0.001476886722788362
patient |patients |patient,2014100609,13287,0,0.0
patient |patients |patient,2014100810,6053,5,8.260366760284157E-4
patient |patients |patient,2014100606,4334,0,0.0
patient |patients |patient,2014100607,6194,7,0.0011301259283177268
patient |patients |patient,2014100707,4802,0,0.0
patient |patients |patient,2014100813,7061,0,0.0
patient |patients |patient,2014100708,5400,2,3.7037037037037035E-4
patient |patients |patient,2014100814,6011,1,1.6636167027116953E-4
patient |patients |patient,2014100705,2740,0,0.0
patient |patients |patient,2014100811,6604,0,0.0
patient |patients |patient,2014100706,3398,1,2.942907592701589E-4
patient |patients |patient,2014100812,5896,0,0.0
patient |patients |patient,2014100817,6743,5,7.415097137772505E-4
patient |patients |patient,2014100600,15771,0,0.0
patient |patients |patient,2014100703,5792,0,0.0
patient |patients |patient,2014100818,7400,6,8.108108108108108E-4
patient |patients |patient,2014100601,8669,0,0.0
patient |patients |patient,2014100704,3010,0,0.0
patient |patients |patient,2014100815,5628,1,1.7768301350390902E-4
patient |patients |patient,2014100701,13455,0,0.0
patient |patients |patient,2014100816,7857,1,1.2727504136438844E-4
patient |patients |patient,2014100702,8524,0,0.0
patient |patients |patient,2014100509,9287,7,7.537417895983633E-4
patient |patients |patient,2014100508,6498,2,3.077870113881194E-4
patient |patients |patient,2014100819,4300,0,0.0
patient |patients |patient,2014100507,16911,0,0.0
patient |patients |patient,2014100403,6749,1,1.481700992739665E-4
patient |patients |patient,2014100506,11836,7,5.914160189253126E-4
patient |patients |patient,2014100402,6613,1,1.5121729925903524E-4
patient |patients |patient,2014100505,6487,19,0.0029289347926622477
patient |patients |patient,2014100401,4570,0,0.0
patient |patients |patient,2014100504,3861,38,0.009842009842009843
patient |patients |patient,2014100400,5285,0,0.0
patient |patients |patient,2014100503,4540,3,6.607929515418502E-4
patient |patients |patient,2014100709,5572,3,5.384063173007897E-4
patient |patients |patient,2014100407,7111,1,1.406271972999578E-4
patient |patients |patient,2014100406,10763,3,2.78732695345164E-4
patient |patients |patient,2014100501,6148,1,1.6265452179570593E-4
patient |patients |patient,2014100405,10366,1,9.646922631680494E-5
patient |patients |patient,2014100500,11540,1,8.665511265164645E-5
patient |patients |patient,2014100404,3086,0,0.0
patient |patients |patient,2014100409,9932,11,0.0011075312122432541
patient |patients |patient,2014100408,10458,5,4.7810288774144193E-4
patient |patients |patient,2014100903,4141,1,2.414875633904854E-4
patient |patients |patient,2014100613,12260,4,3.262642740619902E-4
patient |patients |patient,2014100904,4854,0,0.0
patient |patients |patient,2014100614,10247,3,2.927686152044501E-4
patient |patients |patient,2014100905,7777,2,2.5716857400025716E-4
patient |patients |patient,2014100615,8801,1,1.1362345188046812E-4
patient |patients |patient,2014100710,7431,1,1.3457139012245997E-4
patient |patients |patient,2014100906,3505,4,0.0011412268188302425
patient |patients |patient,2014100616,10833,2,1.8462106526354657E-4
patient |patients |patient,2014100711,13474,2,1.4843402107763098E-4
patient |patients |patient,2014100617,11523,7,6.074806907923284E-4
patient |patients |patient,2014100900,3864,2,5.175983436853002E-4
patient |patients |patient,2014100618,10834,5,4.6151006091932806E-4
patient |patients |patient,2014100901,3052,0,0.0
patient |patients |patient,2014100619,10472,1,9.549274255156608E-5
patient |patients |patient,2014100902,4916,6,0.0012205044751830757
patient |patients |patient,2014100716,9756,9,9.225092250922509E-4
patient |patients |patient,2014100800,3418,1,2.925687536571094E-4
patient |patients |patient,2014100717,12018,4,3.328340822100183E-4
patient |patients |patient,2014100801,4912,0,0.0
patient |patients |patient,2014100718,9824,1,1.0179153094462541E-4
patient |patients |patient,2014100802,4582,1,2.1824530772588389E-4
patient |patients |patient,2014100719,8904,1,1.1230907457322552E-4
patient |patients |patient,2014100803,4750,0,0.0
patient |patients |patient,2014100712,10146,4,3.942440370589395E-4
patient |patients |patient,2014100804,8238,3,3.641660597232338E-4
patient |patients |patient,2014100610,8565,1,1.1675423234092235E-4
patient |patients |patient,2014100713,7382,1,1.35464643727987E-4
patient |patients |patient,2014100805,6904,6,8.690614136732329E-4
patient |patients |patient,2014100611,8676,4,4.610419548178884E-4
patient |patients |patient,2014100714,9294,7,7.53174090811276E-4
patient |patients |patient,2014100806,7696,1,1.2993762993762994E-4
patient |patients |patient,2014100612,7761,1,1.2884937508053087E-4
patient |patients |patient,2014100715,8494,5,5.886508123381211E-4
patient |patients |patient,2014100807,6298,1,1.5878056525881233E-4
patient |patients |patient,2014100519,13547,4,2.9526832509042594E-4
patient |patients |patient,2014100809,5933,4,6.741951795044666E-4
patient |patients |patient,2014100518,12589,3,2.3830328064183018E-4
patient |patients |patient,2014100808,7916,1,1.2632642748863063E-4
patient |patients |patient,2014100410,8297,5,6.02627455706882E-4
patient |patients |patient,2014100412,8252,2,2.423654871546292E-4
patient |patients |patient,2014100515,6526,1,1.5323322096230462E-4
patient |patients |patient,2014100411,8736,6,6.868131868131869E-4
patient |patients |patient,2014100514,7337,9,0.0012266593975739403
patient |patients |patient,2014100414,8029,1,1.2454851164528583E-4
patient |patients |patient,2014100517,16635,4,2.4045686804929366E-4
patient |patients |patient,2014100413,7649,1,1.3073604392731077E-4
patient |patients |patient,2014100516,7164,1,1.3958682300390843E-4
patient |patients |patient,2014100416,8535,2,2.3432923257176333E-4
patient |patients |patient,2014100511,8203,7,8.533463367060831E-4
patient |patients |patient,2014100415,9288,4,4.306632213608958E-4
patient |patients |patient,2014100510,7389,2,2.706726214643389E-4
patient |patients |patient,2014100418,8794,1,1.1371389583807141E-4
patient |patients |patient,2014100513,8653,7,8.089679879810471E-4
patient |patients |patient,2014100417,9001,1,1.1109876680368848E-4
patient |patients |patient,2014100512,7658,5,6.529119874640898E-4
patient |patients |patient,2014100908,14247,5,3.5095107741980766E-4
patient |patients |patient,2014100907,7751,15,0.0019352341633337635
patient |patients |patient,2014100419,8630,0,0.0
patient |patients |patient,2014100909,1000,3,0.003
patient |patients |patient,2014100721,11447,3,2.620774001921901E-4
patient |patients |patient,2014100722,8294,2,2.4113817217265494E-4
patient |patients |patient,2014100720,10198,6,5.88350656991567E-4
patient |patients |patient,2014100723,5300,1,1.8867924528301886E-4
patient |patients |patient,2014100520,14801,3,2.0268900749949328E-4
patient |patients |patient,2014100523,12605,0,0.0
patient |patients |patient,2014100522,10915,3,2.7485112230874945E-4
patient |patients |patient,2014100521,14363,0,0.0
patient |patients |patient,2014100623,8800,2,2.2727272727272727E-4
patient |patients |patient,2014100622,9000,8,8.888888888888889E-4
patient |patients |patient,2014100621,9007,8,8.881980681692017E-4
patient |patients |patient,2014100620,8998,2,2.222716159146477E-4
patient |patients |patient,2014093011,9741,3,3.079765937788728E-4
patient |patients |patient,2014093012,11191,4,3.574300777410419E-4
patient |patients |patient,2014093013,5267,1,1.8986140117714068E-4
patient |patients |patient,2014093017,3899,1,2.5647601949217746E-4
patient |patients |patient,2014093018,99,0,0.0
patient |patients |patient,2014093019,8564,3,3.503035964502569E-4
