flower |Flowers |Flower,2014100223,8580,75,0.008741258741258742
flower |Flowers |Flower,2014100218,9907,1,1.009387301907742E-4
flower |Flowers |Flower,2014100314,9820,14,0.0014256619144602852
flower |Flowers |Flower,2014100219,11100,1,9.009009009009009E-5
flower |Flowers |Flower,2014100420,8163,11,0.001347543795173343
flower |Flowers |Flower,2014100315,10271,11,0.001070976535877714
flower |Flowers |Flower,2014100120,12122,4,3.2997855139415937E-4
flower |Flowers |Flower,2014100421,8099,7,8.64304235090752E-4
flower |Flowers |Flower,2014100422,8432,9,0.0010673624288425048
flower |Flowers |Flower,2014100423,6306,1,1.585791309863622E-4
flower |Flowers |Flower,2014100310,10343,39,0.0037706661510200135
flower |Flowers |Flower,2014100311,11400,30,0.002631578947368421
flower |Flowers |Flower,2014100115,14152,6,4.2396834369700395E-4
flower |Flowers |Flower,2014100114,11535,57,0.00494148244473342
flower |Flowers |Flower,2014100117,11365,2,1.759788825340959E-4
flower |Flowers |Flower,2014100116,10904,0,0.0
flower |Flowers |Flower,2014100111,9571,0,0.0
flower |Flowers |Flower,2014100110,9126,2,2.1915406530791147E-4
flower |Flowers |Flower,2014100823,5727,2,3.4922297887200976E-4
flower |Flowers |Flower,2014100113,11543,10,8.663259118080221E-4
flower |Flowers |Flower,2014100822,900,0,0.0
flower |Flowers |Flower,2014100112,11651,4,3.433181701141533E-4
flower |Flowers |Flower,2014100119,11403,8,7.01569762343243E-4
flower |Flowers |Flower,2014100118,10294,1,9.714396735962697E-5
flower |Flowers |Flower,2014100604,4638,0,0.0
flower |Flowers |Flower,2014100605,8675,1,1.1527377521613833E-4
flower |Flowers |Flower,2014100700,5207,1,1.9204916458613405E-4
flower |Flowers |Flower,2014100914,3191,2,6.267627702914447E-4
flower |Flowers |Flower,2014100602,8176,1,1.223091976516634E-4
flower |Flowers |Flower,2014100915,1000,0,0.0
flower |Flowers |Flower,2014100603,9384,1,1.0656436487638534E-4
flower |Flowers |Flower,2014100912,2545,0,0.0
flower |Flowers |Flower,2014100608,13680,2,1.4619883040935673E-4
flower |Flowers |Flower,2014100913,6771,1,1.476886722788362E-4
flower |Flowers |Flower,2014100609,13287,0,0.0
flower |Flowers |Flower,2014100810,6053,3,4.956220056170494E-4
flower |Flowers |Flower,2014100606,4334,0,0.0
flower |Flowers |Flower,2014100607,6194,1,1.6144656118824668E-4
flower |Flowers |Flower,2014100707,4802,3,6.247396917950854E-4
flower |Flowers |Flower,2014100813,7061,2,2.83245999150262E-4
flower |Flowers |Flower,2014100708,5400,1,1.8518518518518518E-4
flower |Flowers |Flower,2014100814,6011,3,4.990850108135085E-4
flower |Flowers |Flower,2014100705,2740,2,7.2992700729927E-4
flower |Flowers |Flower,2014100811,6604,0,0.0
flower |Flowers |Flower,2014100706,3398,0,0.0
flower |Flowers |Flower,2014100812,5896,0,0.0
flower |Flowers |Flower,2014100817,6743,1,1.4830194275545008E-4
flower |Flowers |Flower,2014100600,15771,0,0.0
flower |Flowers |Flower,2014100703,5792,0,0.0
flower |Flowers |Flower,2014100818,7400,2,2.702702702702703E-4
flower |Flowers |Flower,2014100601,8669,6,6.921213519437074E-4
flower |Flowers |Flower,2014100704,3010,2,6.64451827242525E-4
flower |Flowers |Flower,2014100815,5628,5,8.884150675195451E-4
flower |Flowers |Flower,2014100701,13455,0,0.0
flower |Flowers |Flower,2014100816,7857,3,3.8182512409316535E-4
flower |Flowers |Flower,2014100702,8524,1,1.1731581417175035E-4
flower |Flowers |Flower,2014100509,9287,2,2.153547970281038E-4
flower |Flowers |Flower,2014100508,6498,1,1.538935056940597E-4
flower |Flowers |Flower,2014100819,4300,1,2.3255813953488373E-4
flower |Flowers |Flower,2014100507,16911,3,1.7739932588256165E-4
flower |Flowers |Flower,2014100403,6749,0,0.0
flower |Flowers |Flower,2014100506,11836,1,8.448800270361608E-5
flower |Flowers |Flower,2014100402,6613,4,6.048691970361409E-4
flower |Flowers |Flower,2014100505,6487,2,3.083089255433945E-4
flower |Flowers |Flower,2014100401,4570,0,0.0
flower |Flowers |Flower,2014100504,3861,4,0.001036001036001036
flower |Flowers |Flower,2014100400,5285,3,5.676442762535478E-4
flower |Flowers |Flower,2014100503,4540,0,0.0
flower |Flowers |Flower,2014100709,5572,2,3.589375448671931E-4
flower |Flowers |Flower,2014100407,7111,7,9.843903810997047E-4
flower |Flowers |Flower,2014100406,10763,0,0.0
flower |Flowers |Flower,2014100501,6148,2,3.2530904359141186E-4
flower |Flowers |Flower,2014100405,10366,0,0.0
flower |Flowers |Flower,2014100500,11540,0,0.0
flower |Flowers |Flower,2014100404,3086,0,0.0
flower |Flowers |Flower,2014100409,9932,8,8.054772452678212E-4
flower |Flowers |Flower,2014100408,10458,3,2.8686173264486515E-4
flower |Flowers |Flower,2014100903,4141,2,4.829751267809708E-4
flower |Flowers |Flower,2014100613,12260,2,1.631321370309951E-4
flower |Flowers |Flower,2014100904,4854,0,0.0
flower |Flowers |Flower,2014100614,10247,3,2.927686152044501E-4
flower |Flowers |Flower,2014100905,7777,0,0.0
flower |Flowers |Flower,2014100615,8801,0,0.0
flower |Flowers |Flower,2014100710,7431,2,2.6914278024491994E-4
flower |Flowers |Flower,2014100906,3505,0,0.0
flower |Flowers |Flower,2014100616,10833,2,1.8462106526354657E-4
flower |Flowers |Flower,2014100711,13474,1,7.421701053881549E-5
flower |Flowers |Flower,2014100617,11523,8,6.942636466198039E-4
flower |Flowers |Flower,2014100900,3864,2,5.175983436853002E-4
flower |Flowers |Flower,2014100618,10834,8,7.384160974709249E-4
flower |Flowers |Flower,2014100901,3052,0,0.0
flower |Flowers |Flower,2014100619,10472,3,2.8647822765469827E-4
flower |Flowers |Flower,2014100902,4916,0,0.0
flower |Flowers |Flower,2014100716,9756,0,0.0
flower |Flowers |Flower,2014100800,3418,1,2.925687536571094E-4
flower |Flowers |Flower,2014100717,12018,3,2.4962556165751375E-4
flower |Flowers |Flower,2014100801,4912,3,6.107491856677524E-4
flower |Flowers |Flower,2014100718,9824,1,1.0179153094462541E-4
flower |Flowers |Flower,2014100802,4582,0,0.0
flower |Flowers |Flower,2014100719,8904,4,4.492362982929021E-4
flower |Flowers |Flower,2014100803,4750,0,0.0
flower |Flowers |Flower,2014100712,10146,5,4.928050463236743E-4
flower |Flowers |Flower,2014100804,8238,1,1.2138868657441127E-4
flower |Flowers |Flower,2014100610,8565,3,3.502626970227671E-4
flower |Flowers |Flower,2014100713,7382,0,0.0
flower |Flowers |Flower,2014100805,6904,1,1.4484356894553882E-4
flower |Flowers |Flower,2014100611,8676,6,6.915629322268327E-4
flower |Flowers |Flower,2014100714,9294,2,2.1519259737465033E-4
flower |Flowers |Flower,2014100806,7696,1,1.2993762993762994E-4
flower |Flowers |Flower,2014100612,7761,3,3.8654812524159255E-4
flower |Flowers |Flower,2014100715,8494,2,2.354603249352484E-4
flower |Flowers |Flower,2014100807,6298,0,0.0
flower |Flowers |Flower,2014100519,13547,4,2.9526832509042594E-4
flower |Flowers |Flower,2014100809,5933,3,5.056463846283499E-4
flower |Flowers |Flower,2014100518,12589,7,5.560409881642704E-4
flower |Flowers |Flower,2014100808,7916,0,0.0
flower |Flowers |Flower,2014100410,8297,6,7.231529468482585E-4
flower |Flowers |Flower,2014100412,8252,16,0.0019389238972370335
flower |Flowers |Flower,2014100515,6526,13,0.00199203187250996
flower |Flowers |Flower,2014100411,8736,2,2.2893772893772894E-4
flower |Flowers |Flower,2014100514,7337,4,5.451819544773068E-4
flower |Flowers |Flower,2014100414,8029,8,9.963880931622867E-4
flower |Flowers |Flower,2014100517,16635,4,2.4045686804929366E-4
flower |Flowers |Flower,2014100413,7649,4,5.229441757092431E-4
flower |Flowers |Flower,2014100516,7164,2,2.7917364600781687E-4
flower |Flowers |Flower,2014100416,8535,8,9.373169302870533E-4
flower |Flowers |Flower,2014100511,8203,6,7.314397171766427E-4
flower |Flowers |Flower,2014100415,9288,5,5.383290267011198E-4
flower |Flowers |Flower,2014100510,7389,2,2.706726214643389E-4
flower |Flowers |Flower,2014100418,8794,12,0.001364566750056857
flower |Flowers |Flower,2014100513,8653,5,5.778342771293193E-4
flower |Flowers |Flower,2014100417,9001,1,1.1109876680368848E-4
flower |Flowers |Flower,2014100512,7658,4,5.223295899712719E-4
flower |Flowers |Flower,2014100908,14247,5,3.5095107741980766E-4
flower |Flowers |Flower,2014100907,7751,0,0.0
flower |Flowers |Flower,2014100419,8630,6,6.952491309385864E-4
flower |Flowers |Flower,2014100909,1000,1,0.001
flower |Flowers |Flower,2014100721,11447,2,1.747182667947934E-4
flower |Flowers |Flower,2014100722,8294,4,4.822763443453099E-4
flower |Flowers |Flower,2014100720,10198,4,3.922337713277113E-4
flower |Flowers |Flower,2014100723,5300,0,0.0
flower |Flowers |Flower,2014100520,14801,5,3.3781501249915546E-4
flower |Flowers |Flower,2014100523,12605,1,7.933359777865926E-5
flower |Flowers |Flower,2014100522,10915,6,5.497022446174989E-4
flower |Flowers |Flower,2014100521,14363,7,4.8736336419967973E-4
flower |Flowers |Flower,2014100623,8800,0,0.0
flower |Flowers |Flower,2014100622,9000,3,3.333333333333333E-4
flower |Flowers |Flower,2014100621,9007,6,6.661485511269013E-4
flower |Flowers |Flower,2014100620,8998,3,3.3340742387197157E-4
flower |Flowers |Flower,2014093011,9741,2,2.053177291859152E-4
flower |Flowers |Flower,2014093012,11191,6,5.361451166115629E-4
flower |Flowers |Flower,2014093013,5267,2,3.7972280235428136E-4
flower |Flowers |Flower,2014093017,3899,1,2.5647601949217746E-4
flower |Flowers |Flower,2014093018,99,0,0.0
flower |Flowers |Flower,2014093019,8564,5,5.838393274170948E-4
