member |member |Member |Members |members,2014100223,8580,12,0.0013986013986013986
member |member |Member |Members |members,2014100913,6771,9,0.001329198050509526
member |member |Member |Members |members,2014100609,13287,4,3.0104613532023783E-4
member |member |Member |Members |members,2014100810,6053,12,0.0019824880224681976
member |member |Member |Members |members,2014100606,4334,1,2.3073373327180433E-4
member |member |Member |Members |members,2014100607,6194,1,1.6144656118824668E-4
member |member |Member |Members |members,2014100707,4802,6,0.0012494793835901709
member |member |Member |Members |members,2014100813,7061,11,0.001557852995326441
member |member |Member |Members |members,2014100708,5400,8,0.0014814814814814814
member |member |Member |Members |members,2014100814,6011,12,0.001996340043254034
member |member |Member |Members |members,2014100705,2740,1,3.64963503649635E-4
member |member |Member |Members |members,2014100811,6604,6,9.085402786190188E-4
member |member |Member |Members |members,2014100706,3398,2,5.885815185403178E-4
member |member |Member |Members |members,2014100812,5896,7,0.0011872455902306649
member |member |Member |Members |members,2014100817,6743,8,0.0011864155420436007
member |member |Member |Members |members,2014100600,15771,7,4.438526409232135E-4
member |member |Member |Members |members,2014100703,5792,1,1.7265193370165745E-4
member |member |Member |Members |members,2014100818,7400,4,5.405405405405405E-4
member |member |Member |Members |members,2014100601,8669,5,5.767677932864229E-4
member |member |Member |Members |members,2014100704,3010,0,0.0
member |member |Member |Members |members,2014100815,5628,5,8.884150675195451E-4
member |member |Member |Members |members,2014100701,13455,9,6.688963210702341E-4
member |member |Member |Members |members,2014100816,7857,4,5.091001654575538E-4
member |member |Member |Members |members,2014100702,8524,3,3.519474425152511E-4
member |member |Member |Members |members,2014100509,9287,9,9.690965866264671E-4
member |member |Member |Members |members,2014100508,6498,1,1.538935056940597E-4
member |member |Member |Members |members,2014100819,4300,5,0.0011627906976744186
member |member |Member |Members |members,2014100507,16911,2,1.182662172550411E-4
member |member |Member |Members |members,2014100403,6749,4,5.92680397095866E-4
member |member |Member |Members |members,2014100506,11836,1,8.448800270361608E-5
member |member |Member |Members |members,2014100402,6613,2,3.0243459851807047E-4
member |member |Member |Members |members,2014100505,6487,0,0.0
member |member |Member |Members |members,2014100401,4570,0,0.0
member |member |Member |Members |members,2014100504,3861,0,0.0
member |member |Member |Members |members,2014100400,5285,9,0.0017029328287606433
member |member |Member |Members |members,2014100503,4540,2,4.405286343612335E-4
member |member |Member |Members |members,2014100709,5572,7,0.001256281407035176
member |member |Member |Members |members,2014100407,7111,3,4.2188159189987344E-4
member |member |Member |Members |members,2014100406,10763,3,2.78732695345164E-4
member |member |Member |Members |members,2014100501,6148,3,4.8796356538711777E-4
member |member |Member |Members |members,2014100405,10366,3,2.894076789504148E-4
member |member |Member |Members |members,2014100500,11540,9,7.79896013864818E-4
member |member |Member |Members |members,2014100404,3086,0,0.0
member |member |Member |Members |members,2014100409,9932,16,0.0016109544905356424
member |member |Member |Members |members,2014100408,10458,9,8.605851979345956E-4
member |member |Member |Members |members,2014100903,4141,1,2.414875633904854E-4
member |member |Member |Members |members,2014100613,12260,19,0.0015497553017944535
member |member |Member |Members |members,2014100904,4854,0,0.0
member |member |Member |Members |members,2014100614,10247,22,0.002146969844832634
member |member |Member |Members |members,2014100905,7777,0,0.0
member |member |Member |Members |members,2014100615,8801,9,0.0010226110669242132
member |member |Member |Members |members,2014100710,7431,13,0.0017494280715919794
member |member |Member |Members |members,2014100906,3505,2,5.706134094151213E-4
member |member |Member |Members |members,2014100616,10833,37,0.0034154897073756115
member |member |Member |Members |members,2014100711,13474,5,3.7108505269407746E-4
member |member |Member |Members |members,2014100617,11523,21,0.0018224420723769851
member |member |Member |Members |members,2014100900,3864,1,2.587991718426501E-4
member |member |Member |Members |members,2014100618,10834,22,0.0020306442680450435
member |member |Member |Members |members,2014100901,3052,2,6.55307994757536E-4
member |member |Member |Members |members,2014100619,10472,17,0.0016233766233766235
member |member |Member |Members |members,2014100902,4916,0,0.0
member |member |Member |Members |members,2014100716,9756,19,0.001947519475194752
member |member |Member |Members |members,2014100800,3418,2,5.851375073142189E-4
member |member |Member |Members |members,2014100717,12018,15,0.0012481278082875687
member |member |Member |Members |members,2014100801,4912,2,4.0716612377850165E-4
member |member |Member |Members |members,2014100718,9824,13,0.0013232899022801302
member |member |Member |Members |members,2014100802,4582,2,4.3649061545176777E-4
member |member |Member |Members |members,2014100719,8904,27,0.003032345013477089
member |member |Member |Members |members,2014100803,4750,3,6.315789473684211E-4
member |member |Member |Members |members,2014100712,10146,7,6.899270648531441E-4
member |member |Member |Members |members,2014100804,8238,1,1.2138868657441127E-4
member |member |Member |Members |members,2014100610,8565,4,4.670169293636894E-4
member |member |Member |Members |members,2014100713,7382,8,0.001083717149823896
member |member |Member |Members |members,2014100805,6904,2,2.8968713789107763E-4
member |member |Member |Members |members,2014100611,8676,10,0.001152604887044721
member |member |Member |Members |members,2014100714,9294,12,0.0012911555842479018
member |member |Member |Members |members,2014100806,7696,4,5.197505197505198E-4
member |member |Member |Members |members,2014100612,7761,14,0.001803891251127432
member |member |Member |Members |members,2014100715,8494,16,0.0018836825994819873
member |member |Member |Members |members,2014100807,6298,6,9.52683391552874E-4
member |member |Member |Members |members,2014100519,13547,9,6.643537314534584E-4
member |member |Member |Members |members,2014100809,5933,9,0.0015169391538850498
member |member |Member |Members |members,2014100518,12589,8,6.354754150448804E-4
member |member |Member |Members |members,2014100808,7916,6,7.579585649317837E-4
member |member |Member |Members |members,2014100410,8297,19,0.0022899843316861518
member |member |Member |Members |members,2014100412,8252,7,8.482792050412022E-4
member |member |Member |Members |members,2014100515,6526,9,0.0013790989886607416
member |member |Member |Members |members,2014100411,8736,18,0.0020604395604395605
member |member |Member |Members |members,2014100514,7337,15,0.0020444323292899006
member |member |Member |Members |members,2014100414,8029,22,0.0027400672561962883
member |member |Member |Members |members,2014100517,16635,2,1.2022843402464683E-4
member |member |Member |Members |members,2014100413,7649,10,0.0013073604392731075
member |member |Member |Members |members,2014100516,7164,9,0.001256281407035176
member |member |Member |Members |members,2014100416,8535,16,0.0018746338605741067
member |member |Member |Members |members,2014100511,8203,8,9.752529562355236E-4
member |member |Member |Members |members,2014100415,9288,25,0.002691645133505599
member |member |Member |Members |members,2014100510,7389,18,0.00243605359317905
member |member |Member |Members |members,2014100418,8794,15,0.0017057084375710712
member |member |Member |Members |members,2014100513,8653,7,8.089679879810471E-4
member |member |Member |Members |members,2014100417,9001,5,5.554938340184424E-4
member |member |Member |Members |members,2014100512,7658,7,9.140767824497258E-4
member |member |Member |Members |members,2014100908,14247,5,3.5095107741980766E-4
member |member |Member |Members |members,2014100907,7751,1,1.2901561088891756E-4
member |member |Member |Members |members,2014100419,8630,6,6.952491309385864E-4
member |member |Member |Members |members,2014100909,1000,1,0.001
member |member |Member |Members |members,2014100721,11447,13,0.0011356687341661572
member |member |Member |Members |members,2014100722,8294,7,8.439836026042923E-4
member |member |Member |Members |members,2014100720,10198,12,0.001176701313983134
member |member |Member |Members |members,2014100723,5300,7,0.0013207547169811322
member |member |Member |Members |members,2014100520,14801,7,4.7294101749881766E-4
member |member |Member |Members |members,2014100523,12605,26,0.002062673542245141
member |member |Member |Members |members,2014100522,10915,9,8.245533669262483E-4
member |member |Member |Members |members,2014100521,14363,18,0.0012532200793706051
member |member |Member |Members |members,2014100623,8800,27,0.003068181818181818
member |member |Member |Members |members,2014100622,9000,10,0.0011111111111111111
member |member |Member |Members |members,2014100621,9007,15,0.0016653713778172533
member |member |Member |Members |members,2014100620,8998,9,0.0010002222716159147
member |member |Member |Members |members,2014093011,9741,14,0.0014372241043014065
member |member |Member |Members |members,2014093012,11191,16,0.0014297203109641676
member |member |Member |Members |members,2014093013,5267,11,0.0020884754129485475
member |member |Member |Members |members,2014093017,3899,3,7.694280584765325E-4
member |member |Member |Members |members,2014093018,99,0,0.0
member |member |Member |Members |members,2014093019,8564,17,0.0019850537132181222
