club |club |Club |Clubs |clubs,2014100223,8580,19,0.0022144522144522147
club |club |Club |Clubs |clubs,2014100217,9835,81,0.008235892221657347
club |club |Club |Clubs |clubs,2014100313,9887,35,0.0035400020228582986
club |club |Club |Clubs |clubs,2014100218,9907,47,0.004744120318966387
club |club |Club |Clubs |clubs,2014100314,9820,23,0.0023421588594704683
club |club |Club |Clubs |clubs,2014100219,11100,36,0.003243243243243243
club |club |Club |Clubs |clubs,2014100420,8163,33,0.00404263138552003
club |club |Club |Clubs |clubs,2014100315,10271,35,0.0034076526141563626
club |club |Club |Clubs |clubs,2014100120,12122,92,0.0075895066820656654
club |club |Club |Clubs |clubs,2014100421,8099,31,0.0038276330411161873
club |club |Club |Clubs |clubs,2014100422,8432,511,0.06060246679316888
club |club |Club |Clubs |clubs,2014100423,6306,82,0.0130034887408817
club |club |Club |Clubs |clubs,2014100310,10343,39,0.0037706661510200135
club |club |Club |Clubs |clubs,2014100311,11400,38,0.0033333333333333335
club |club |Club |Clubs |clubs,2014100115,14152,44,0.0031091011871113624
club |club |Club |Clubs |clubs,2014100114,11535,66,0.005721716514954486
club |club |Club |Clubs |clubs,2014100117,11365,64,0.005631324241091069
club |club |Club |Clubs |clubs,2014100116,10904,71,0.006511371973587674
club |club |Club |Clubs |clubs,2014100111,9571,24,0.0025075749660432556
club |club |Club |Clubs |clubs,2014100110,9126,25,0.002739425816348893
club |club |Club |Clubs |clubs,2014100823,5727,7,0.0012222804260520342
club |club |Club |Clubs |clubs,2014100113,11543,53,0.004591527332582518
club |club |Club |Clubs |clubs,2014100822,900,5,0.005555555555555556
club |club |Club |Clubs |clubs,2014100112,11651,51,0.0043773066689554545
club |club |Club |Clubs |clubs,2014100119,11403,71,0.006226431640796282
club |club |Club |Clubs |clubs,2014100118,10294,60,0.005828638041577618
club |club |Club |Clubs |clubs,2014100604,4638,9,0.0019404915912031048
club |club |Club |Clubs |clubs,2014100605,8675,7,8.069164265129683E-4
club |club |Club |Clubs |clubs,2014100700,5207,8,0.0015363933166890724
club |club |Club |Clubs |clubs,2014100914,3191,35,0.010968348480100282
club |club |Club |Clubs |clubs,2014100602,8176,28,0.003424657534246575
club |club |Club |Clubs |clubs,2014100915,1000,7,0.007
club |club |Club |Clubs |clubs,2014100603,9384,6,6.393861892583121E-4
club |club |Club |Clubs |clubs,2014100912,2545,8,0.003143418467583497
club |club |Club |Clubs |clubs,2014100608,13680,127,0.009283625730994153
club |club |Club |Clubs |clubs,2014100913,6771,29,0.00428297149608625
club |club |Club |Clubs |clubs,2014100609,13287,111,0.0083540302551366
club |club |Club |Clubs |clubs,2014100810,6053,39,0.006443086073021642
club |club |Club |Clubs |clubs,2014100606,4334,9,0.002076603599446239
club |club |Club |Clubs |clubs,2014100607,6194,10,0.0016144656118824668
club |club |Club |Clubs |clubs,2014100707,4802,7,0.0014577259475218659
club |club |Club |Clubs |clubs,2014100813,7061,18,0.002549213992352358
club |club |Club |Clubs |clubs,2014100708,5400,20,0.003703703703703704
club |club |Club |Clubs |clubs,2014100814,6011,29,0.004824488437863916
club |club |Club |Clubs |clubs,2014100705,2740,3,0.0010948905109489052
club |club |Club |Clubs |clubs,2014100811,6604,37,0.005602665051483949
club |club |Club |Clubs |clubs,2014100706,3398,9,0.00264861683343143
club |club |Club |Clubs |clubs,2014100812,5896,25,0.004240162822252374
club |club |Club |Clubs |clubs,2014100817,6743,25,0.0037075485688862525
club |club |Club |Clubs |clubs,2014100600,15771,103,0.0065309745735844275
club |club |Club |Clubs |clubs,2014100703,5792,0,0.0
club |club |Club |Clubs |clubs,2014100818,7400,23,0.003108108108108108
club |club |Club |Clubs |clubs,2014100601,8669,186,0.02145576191025493
club |club |Club |Clubs |clubs,2014100704,3010,1,3.322259136212625E-4
club |club |Club |Clubs |clubs,2014100815,5628,20,0.0035536602700781805
club |club |Club |Clubs |clubs,2014100701,13455,4,2.9728725380899295E-4
club |club |Club |Clubs |clubs,2014100816,7857,31,0.003945526282296042
club |club |Club |Clubs |clubs,2014100702,8524,1,1.1731581417175035E-4
club |club |Club |Clubs |clubs,2014100509,9287,48,0.0051685151286744915
club |club |Club |Clubs |clubs,2014100508,6498,141,0.02169898430286242
club |club |Club |Clubs |clubs,2014100819,4300,23,0.005348837209302326
club |club |Club |Clubs |clubs,2014100507,16911,33,0.001951392584708178
club |club |Club |Clubs |clubs,2014100403,6749,1,1.481700992739665E-4
club |club |Club |Clubs |clubs,2014100506,11836,6,5.069280162216965E-4
club |club |Club |Clubs |clubs,2014100402,6613,6,9.073037955542114E-4
club |club |Club |Clubs |clubs,2014100505,6487,8,0.001233235702173578
club |club |Club |Clubs |clubs,2014100401,4570,6,0.001312910284463895
club |club |Club |Clubs |clubs,2014100504,3861,17,0.004403004403004403
club |club |Club |Clubs |clubs,2014100400,5285,7,0.0013245033112582781
club |club |Club |Clubs |clubs,2014100503,4540,71,0.01563876651982379
club |club |Club |Clubs |clubs,2014100709,5572,8,0.0014357501794687725
club |club |Club |Clubs |clubs,2014100407,7111,10,0.0014062719729995782
club |club |Club |Clubs |clubs,2014100406,10763,5,4.6455449224193997E-4
club |club |Club |Clubs |clubs,2014100501,6148,177,0.028789850357839947
club |club |Club |Clubs |clubs,2014100405,10366,3,2.894076789504148E-4
club |club |Club |Clubs |clubs,2014100500,11540,65,0.005632582322357019
club |club |Club |Clubs |clubs,2014100404,3086,4,0.0012961762799740765
club |club |Club |Clubs |clubs,2014100409,9932,27,0.0027184857027788964
club |club |Club |Clubs |clubs,2014100408,10458,24,0.002294893861158921
club |club |Club |Clubs |clubs,2014100903,4141,2,4.829751267809708E-4
club |club |Club |Clubs |clubs,2014100613,12260,26,0.0021207177814029365
club |club |Club |Clubs |clubs,2014100904,4854,2,4.1203131437989287E-4
club |club |Club |Clubs |clubs,2014100614,10247,42,0.004098760612862301
club |club |Club |Clubs |clubs,2014100905,7777,1,1.2858428700012858E-4
club |club |Club |Clubs |clubs,2014100615,8801,56,0.006362913305306216
club |club |Club |Clubs |clubs,2014100710,7431,20,0.0026914278024491992
club |club |Club |Clubs |clubs,2014100906,3505,2,5.706134094151213E-4
club |club |Club |Clubs |clubs,2014100616,10833,86,0.007938705806332503
club |club |Club |Clubs |clubs,2014100711,13474,27,0.0020038592845480186
club |club |Club |Clubs |clubs,2014100617,11523,100,0.008678295582747549
club |club |Club |Clubs |clubs,2014100900,3864,11,0.002846790890269151
club |club |Club |Clubs |clubs,2014100618,10834,84,0.007753369023444711
club |club |Club |Clubs |clubs,2014100901,3052,3,9.82961992136304E-4
club |club |Club |Clubs |clubs,2014100619,10472,57,0.0054430863254392664
club |club |Club |Clubs |clubs,2014100902,4916,6,0.0012205044751830757
club |club |Club |Clubs |clubs,2014100716,9756,105,0.01076260762607626
club |club |Club |Clubs |clubs,2014100800,3418,2,5.851375073142189E-4
club |club |Club |Clubs |clubs,2014100717,12018,84,0.006989515726410384
club |club |Club |Clubs |clubs,2014100801,4912,4,8.143322475570033E-4
club |club |Club |Clubs |clubs,2014100718,9824,51,0.0051913680781758955
club |club |Club |Clubs |clubs,2014100802,4582,1,2.1824530772588389E-4
club |club |Club |Clubs |clubs,2014100719,8904,65,0.007300089847259658
club |club |Club |Clubs |clubs,2014100803,4750,1,2.105263157894737E-4
club |club |Club |Clubs |clubs,2014100712,10146,35,0.0034496353242657206
club |club |Club |Clubs |clubs,2014100804,8238,0,0.0
club |club |Club |Clubs |clubs,2014100610,8565,87,0.010157618213660246
club |club |Club |Clubs |clubs,2014100713,7382,23,0.003115686805743701
club |club |Club |Clubs |clubs,2014100805,6904,0,0.0
club |club |Club |Clubs |clubs,2014100611,8676,49,0.005647763946519133
club |club |Club |Clubs |clubs,2014100714,9294,20,0.002151925973746503
club |club |Club |Clubs |clubs,2014100806,7696,7,9.095634095634096E-4
club |club |Club |Clubs |clubs,2014100612,7761,30,0.003865481252415926
club |club |Club |Clubs |clubs,2014100715,8494,30,0.0035319048740287263
club |club |Club |Clubs |clubs,2014100807,6298,6,9.52683391552874E-4
club |club |Club |Clubs |clubs,2014100519,13547,63,0.004650476120174208
club |club |Club |Clubs |clubs,2014100809,5933,16,0.0026967807180178663
club |club |Club |Clubs |clubs,2014100518,12589,52,0.004130590197791723
club |club |Club |Clubs |clubs,2014100808,7916,11,0.0013895907023749369
club |club |Club |Clubs |clubs,2014100410,8297,23,0.0027720862962516573
club |club |Club |Clubs |clubs,2014100412,8252,22,0.002666020358700921
club |club |Club |Clubs |clubs,2014100515,6526,17,0.002604964756359179
club |club |Club |Clubs |clubs,2014100411,8736,27,0.0030906593406593405
club |club |Club |Clubs |clubs,2014100514,7337,18,0.0024533187951478806
club |club |Club |Clubs |clubs,2014100414,8029,33,0.004110100884294433
club |club |Club |Clubs |clubs,2014100517,16635,16,9.618274721971747E-4
club |club |Club |Clubs |clubs,2014100413,7649,21,0.002745456922473526
club |club |Club |Clubs |clubs,2014100516,7164,20,0.0027917364600781687
club |club |Club |Clubs |clubs,2014100416,8535,26,0.0030462800234329233
club |club |Club |Clubs |clubs,2014100511,8203,44,0.005363891259295379
club |club |Club |Clubs |clubs,2014100415,9288,23,0.0024763135228251507
club |club |Club |Clubs |clubs,2014100510,7389,25,0.003383407768304236
club |club |Club |Clubs |clubs,2014100418,8794,27,0.0030702751876279283
club |club |Club |Clubs |clubs,2014100513,8653,23,0.0026580376747948687
club |club |Club |Clubs |clubs,2014100417,9001,27,0.002999666703699589
club |club |Club |Clubs |clubs,2014100512,7658,20,0.0026116479498563593
club |club |Club |Clubs |clubs,2014100908,14247,24,0.0016845651716150768
club |club |Club |Clubs |clubs,2014100907,7751,9,0.001161140498000258
club |club |Club |Clubs |clubs,2014100419,8630,24,0.0027809965237543454
club |club |Club |Clubs |clubs,2014100909,1000,1,0.001
club |club |Club |Clubs |clubs,2014100721,11447,69,0.006027780204420372
club |club |Club |Clubs |clubs,2014100722,8294,25,0.0030142271521581866
club |club |Club |Clubs |clubs,2014100720,10198,40,0.003922337713277113
club |club |Club |Clubs |clubs,2014100723,5300,5,9.433962264150943E-4
club |club |Club |Clubs |clubs,2014100520,14801,63,0.004256469157489359
club |club |Club |Clubs |clubs,2014100523,12605,30,0.002380007933359778
club |club |Club |Clubs |clubs,2014100522,10915,31,0.0028401282638570776
club |club |Club |Clubs |clubs,2014100521,14363,58,0.004038153589083061
club |club |Club |Clubs |clubs,2014100623,8800,14,0.001590909090909091
club |club |Club |Clubs |clubs,2014100622,9000,15,0.0016666666666666668
club |club |Club |Clubs |clubs,2014100621,9007,27,0.002997668480071056
club |club |Club |Clubs |clubs,2014100620,8998,46,0.005112247166036897
club |club |Club |Clubs |clubs,2014093011,9741,18,0.0018478595626732369
club |club |Club |Clubs |clubs,2014093012,11191,40,0.003574300777410419
club |club |Club |Clubs |clubs,2014093013,5267,62,0.011771406872982722
club |club |Club |Clubs |clubs,2014093017,3899,13,0.003334188253398307
club |club |Club |Clubs |clubs,2014093018,99,0,0.0
club |club |Club |Clubs |clubs,2014093019,8564,46,0.005371321812237272
