ebola |Ebola,2014100223,8580,21,0.0024475524475524478
ebola |Ebola,2014100105,7742,1,1.291655902867476E-4
ebola |Ebola,2014100104,8731,0,0.0
ebola |Ebola,2014100103,1127,0,0.0
ebola |Ebola,2014100102,2940,0,0.0
ebola |Ebola,2014100101,3598,0,0.0
ebola |Ebola,2014100100,1816,0,0.0
ebola |Ebola,2014100109,10999,42,0.0038185289571779253
ebola |Ebola,2014100108,14670,44,0.0029993183367416497
ebola |Ebola,2014100107,32104,38,0.0011836531273361575
ebola |Ebola,2014100210,10300,14,0.0013592233009708738
ebola |Ebola,2014100211,11008,15,0.0013626453488372093
ebola |Ebola,2014100212,11567,14,0.0012103397596611048
ebola |Ebola,2014100316,10537,2,1.8980734554427256E-4
ebola |Ebola,2014100213,10976,16,0.0014577259475218659
ebola |Ebola,2014100317,9832,3,3.051261187957689E-4
ebola |Ebola,2014100214,12210,6,4.914004914004914E-4
ebola |Ebola,2014100318,9075,5,5.509641873278236E-4
ebola |Ebola,2014100215,11832,9,7.606490872210953E-4
ebola |Ebola,2014100319,8645,3,3.470213996529786E-4
ebola |Ebola,2014100216,10725,8,7.459207459207459E-4
ebola |Ebola,2014100312,10661,17,0.0015945971297251665
ebola |Ebola,2014100217,9835,33,0.003355363497712252
ebola |Ebola,2014100313,9887,3,3.034287448164256E-4
ebola |Ebola,2014100218,9907,9,9.084485717169678E-4
ebola |Ebola,2014100314,9820,2,2.0366598778004074E-4
ebola |Ebola,2014100219,11100,6,5.405405405405405E-4
ebola |Ebola,2014100420,8163,17,0.002082567683449712
ebola |Ebola,2014100315,10271,3,2.9208450978483107E-4
ebola |Ebola,2014100120,12122,11,9.074410163339383E-4
ebola |Ebola,2014100421,8099,10,0.0012347203358439314
ebola |Ebola,2014100422,8432,11,0.0013045540796963948
ebola |Ebola,2014100423,6306,3,4.757373929590866E-4
ebola |Ebola,2014100310,10343,17,0.0016436237068548777
ebola |Ebola,2014100311,11400,11,9.649122807017544E-4
ebola |Ebola,2014100115,14152,12,8.479366873940079E-4
ebola |Ebola,2014100114,11535,30,0.002600780234070221
ebola |Ebola,2014100117,11365,9,7.919049714034316E-4
ebola |Ebola,2014100116,10904,3,2.751283932501834E-4
ebola |Ebola,2014100111,9571,9,9.403406122662209E-4
ebola |Ebola,2014100110,9126,16,0.0017532325224632918
ebola |Ebola,2014100823,5727,6,0.0010476689366160294
ebola |Ebola,2014100113,11543,12,0.0010395910941696266
ebola |Ebola,2014100822,900,1,0.0011111111111111111
ebola |Ebola,2014100112,11651,21,0.0018024203930993047
ebola |Ebola,2014100119,11403,11,9.646584232219592E-4
ebola |Ebola,2014100118,10294,1,9.714396735962697E-5
ebola |Ebola,2014100604,4638,2,4.3122035360068997E-4
ebola |Ebola,2014100605,8675,6,6.9164265129683E-4
ebola |Ebola,2014100700,5207,48,0.009218359900134435
ebola |Ebola,2014100914,3191,4,0.0012535255405828893
ebola |Ebola,2014100602,8176,1,1.223091976516634E-4
ebola |Ebola,2014100915,1000,1,0.001
ebola |Ebola,2014100603,9384,2,2.1312872975277067E-4
ebola |Ebola,2014100912,2545,4,0.0015717092337917485
ebola |Ebola,2014100608,13680,7,5.116959064327486E-4
ebola |Ebola,2014100913,6771,4,5.907546891153448E-4
ebola |Ebola,2014100609,13287,2213,0.1665537743659216
ebola |Ebola,2014100810,6053,3,4.956220056170494E-4
ebola |Ebola,2014100606,4334,1,2.3073373327180433E-4
ebola |Ebola,2014100607,6194,4,6.457862447529867E-4
ebola |Ebola,2014100707,4802,41,0.0085381091211995
ebola |Ebola,2014100813,7061,10,0.00141622999575131
ebola |Ebola,2014100708,5400,37,0.006851851851851852
ebola |Ebola,2014100814,6011,12,0.001996340043254034
ebola |Ebola,2014100705,2740,28,0.010218978102189781
ebola |Ebola,2014100811,6604,5,7.571168988491823E-4
ebola |Ebola,2014100706,3398,33,0.009711595055915245
ebola |Ebola,2014100812,5896,5,8.480325644504749E-4
ebola |Ebola,2014100817,6743,13,0.0019279252558208513
ebola |Ebola,2014100600,15771,4,2.536300805275506E-4
ebola |Ebola,2014100703,5792,40,0.006906077348066298
ebola |Ebola,2014100818,7400,11,0.0014864864864864865
ebola |Ebola,2014100601,8669,8,9.228284692582767E-4
ebola |Ebola,2014100704,3010,40,0.013289036544850499
ebola |Ebola,2014100815,5628,8,0.0014214641080312722
ebola |Ebola,2014100701,13455,78,0.005797101449275362
ebola |Ebola,2014100816,7857,8,0.0010182003309151075
ebola |Ebola,2014100702,8524,64,0.007508212106992022
ebola |Ebola,2014100509,9287,11,0.001184451383654571
ebola |Ebola,2014100508,6498,7,0.0010772545398584179
ebola |Ebola,2014100819,4300,8,0.0018604651162790699
ebola |Ebola,2014100507,16911,16,9.461297380403288E-4
ebola |Ebola,2014100403,6749,3,4.4451029782189953E-4
ebola |Ebola,2014100506,11836,12,0.001013856032443393
ebola |Ebola,2014100402,6613,8,0.0012097383940722819
ebola |Ebola,2014100505,6487,7,0.0010790812394018807
ebola |Ebola,2014100401,4570,1,2.188183807439825E-4
ebola |Ebola,2014100504,3861,6,0.001554001554001554
ebola |Ebola,2014100400,5285,2,3.784295175023652E-4
ebola |Ebola,2014100503,4540,4,8.81057268722467E-4
ebola |Ebola,2014100709,5572,17,0.0030509691313711416
ebola |Ebola,2014100407,7111,8,0.0011250175783996624
ebola |Ebola,2014100406,10763,6,5.57465390690328E-4
ebola |Ebola,2014100501,6148,0,0.0
ebola |Ebola,2014100405,10366,2,1.9293845263360988E-4
ebola |Ebola,2014100500,11540,2,1.733102253032929E-4
ebola |Ebola,2014100404,3086,2,6.480881399870382E-4
ebola |Ebola,2014100409,9932,5,5.034232782923883E-4
ebola |Ebola,2014100408,10458,14,0.0013386880856760374
ebola |Ebola,2014100903,4141,3,7.244626901714562E-4
ebola |Ebola,2014100613,12260,93,0.007585644371941273
ebola |Ebola,2014100904,4854,9,0.001854140914709518
ebola |Ebola,2014100614,10247,83,0.00809993168732312
ebola |Ebola,2014100905,7777,7,9.000900090009E-4
ebola |Ebola,2014100615,8801,104,0.011816838995568686
ebola |Ebola,2014100710,7431,22,0.002960570582694119
ebola |Ebola,2014100906,3505,7,0.0019971469329529245
ebola |Ebola,2014100616,10833,146,0.0134773377642389
ebola |Ebola,2014100711,13474,18,0.0013359061896986788
ebola |Ebola,2014100617,11523,148,0.01284387746246637
ebola |Ebola,2014100900,3864,14,0.0036231884057971015
ebola |Ebola,2014100618,10834,74,0.006830348901606055
ebola |Ebola,2014100901,3052,4,0.001310615989515072
ebola |Ebola,2014100619,10472,38,0.003628724216959511
ebola |Ebola,2014100902,4916,17,0.0034580960130187145
ebola |Ebola,2014100716,9756,21,0.002152521525215252
ebola |Ebola,2014100800,3418,6,0.0017554125219426564
ebola |Ebola,2014100717,12018,18,0.0014977533699450823
ebola |Ebola,2014100801,4912,16,0.003257328990228013
ebola |Ebola,2014100718,9824,20,0.002035830618892508
ebola |Ebola,2014100802,4582,8,0.001745962461807071
ebola |Ebola,2014100719,8904,13,0.0014600179694519318
ebola |Ebola,2014100803,4750,12,0.0025263157894736842
ebola |Ebola,2014100712,10146,13,0.0012812931204415534
ebola |Ebola,2014100804,8238,17,0.0020636076717649916
ebola |Ebola,2014100610,8565,381,0.04448336252189142
ebola |Ebola,2014100713,7382,20,0.00270929287455974
ebola |Ebola,2014100805,6904,7,0.0010139049826187717
ebola |Ebola,2014100611,8676,127,0.014638082065467958
ebola |Ebola,2014100714,9294,13,0.001398751882935227
ebola |Ebola,2014100806,7696,10,0.0012993762993762994
ebola |Ebola,2014100612,7761,82,0.01056564875660353
ebola |Ebola,2014100715,8494,11,0.0012950317871438662
ebola |Ebola,2014100807,6298,10,0.0015878056525881232
ebola |Ebola,2014100519,13547,2,1.4763416254521297E-4
ebola |Ebola,2014100809,5933,10,0.0016854879487611663
ebola |Ebola,2014100518,12589,4,3.177377075224402E-4
ebola |Ebola,2014100808,7916,13,0.001642243557352198
ebola |Ebola,2014100410,8297,7,8.436784379896348E-4
ebola |Ebola,2014100412,8252,2,2.423654871546292E-4
ebola |Ebola,2014100515,6526,7,0.0010726325467361323
ebola |Ebola,2014100411,8736,25,0.0028617216117216115
ebola |Ebola,2014100514,7337,10,0.001362954886193267
ebola |Ebola,2014100414,8029,10,0.0012454851164528584
ebola |Ebola,2014100517,16635,4,2.4045686804929366E-4
ebola |Ebola,2014100413,7649,1,1.3073604392731077E-4
ebola |Ebola,2014100516,7164,3,4.187604690117253E-4
ebola |Ebola,2014100416,8535,10,0.0011716461628588166
ebola |Ebola,2014100511,8203,28,0.0034133853468243324
ebola |Ebola,2014100415,9288,3,3.2299741602067185E-4
ebola |Ebola,2014100510,7389,24,0.0032480714575720666
ebola |Ebola,2014100418,8794,8,9.097111667045713E-4
ebola |Ebola,2014100513,8653,17,0.0019646365422396855
ebola |Ebola,2014100417,9001,8,8.887901344295079E-4
ebola |Ebola,2014100512,7658,9,0.0011752415774353617
ebola |Ebola,2014100908,14247,33,0.0023162771109707307
ebola |Ebola,2014100907,7751,15,0.0019352341633337635
ebola |Ebola,2014100419,8630,15,0.0017381228273464658
ebola |Ebola,2014100909,1000,1,0.001
ebola |Ebola,2014100721,11447,25,0.0021839783349349175
ebola |Ebola,2014100722,8294,26,0.003134796238244514
ebola |Ebola,2014100720,10198,7,6.864090998234948E-4
ebola |Ebola,2014100723,5300,16,0.0030188679245283017
ebola |Ebola,2014100520,14801,6,4.0537801499898656E-4
ebola |Ebola,2014100523,12605,8,6.346687822292741E-4
ebola |Ebola,2014100522,10915,6,5.497022446174989E-4
ebola |Ebola,2014100521,14363,11,7.658567151709253E-4
ebola |Ebola,2014100623,8800,43,0.004886363636363637
ebola |Ebola,2014100622,9000,29,0.0032222222222222222
ebola |Ebola,2014100621,9007,26,0.0028866437215499057
ebola |Ebola,2014100620,8998,42,0.0046677039342076015
ebola |Ebola,2014093011,9741,2,2.053177291859152E-4
ebola |Ebola,2014093012,11191,0,0.0
ebola |Ebola,2014093013,5267,0,0.0
ebola |Ebola,2014093017,3899,10,0.0025647601949217746
ebola |Ebola,2014093018,99,0,0.0
ebola |Ebola,2014093019,8564,1,1.1676786548341896E-4
