apartment |apartment |apartments,2014100223,8580,2,2.331002331002331E-4
apartment |apartment |apartments,2014100907,7751,0,0.0
apartment |apartment |apartments,2014100419,8630,1,1.1587485515643106E-4
apartment |apartment |apartments,2014100909,1000,0,0.0
apartment |apartment |apartments,2014100721,11447,7,6.115139337817769E-4
apartment |apartment |apartments,2014100722,8294,3,3.617072582589824E-4
apartment |apartment |apartments,2014100720,10198,5,4.902922141596392E-4
apartment |apartment |apartments,2014100723,5300,2,3.773584905660377E-4
apartment |apartment |apartments,2014100520,14801,3,2.0268900749949328E-4
apartment |apartment |apartments,2014100523,12605,1,7.933359777865926E-5
apartment |apartment |apartments,2014100522,10915,1,9.161704076958314E-5
apartment |apartment |apartments,2014100521,14363,0,0.0
apartment |apartment |apartments,2014100623,8800,2,2.2727272727272727E-4
apartment |apartment |apartments,2014100622,9000,2,2.2222222222222223E-4
apartment |apartment |apartments,2014100621,9007,0,0.0
apartment |apartment |apartments,2014100620,8998,1,1.1113580795732385E-4
apartment |apartment |apartments,2014093011,9741,1,1.026588645929576E-4
apartment |apartment |apartments,2014093012,11191,0,0.0
apartment |apartment |apartments,2014093013,5267,1,1.8986140117714068E-4
apartment |apartment |apartments,2014093017,3899,0,0.0
apartment |apartment |apartments,2014093018,99,0,0.0
apartment |apartment |apartments,2014093019,8564,1,1.1676786548341896E-4
