area |area |areas,2014100223,8580,5,5.827505827505828E-4
area |area |areas,2014100804,8238,0,0.0
area |area |areas,2014100610,8565,4,4.670169293636894E-4
area |area |areas,2014100713,7382,6,8.12787862367922E-4
area |area |areas,2014100805,6904,0,0.0
area |area |areas,2014100611,8676,5,5.763024435223605E-4
area |area |areas,2014100714,9294,4,4.3038519474930065E-4
area |area |areas,2014100806,7696,1,1.2993762993762994E-4
area |area |areas,2014100612,7761,5,6.442468754026543E-4
area |area |areas,2014100715,8494,5,5.886508123381211E-4
area |area |areas,2014100807,6298,1,1.5878056525881233E-4
area |area |areas,2014100519,13547,6,4.429024876356389E-4
area |area |areas,2014100809,5933,5,8.427439743805831E-4
area |area |areas,2014100518,12589,0,0.0
area |area |areas,2014100808,7916,9,0.0011369378473976757
area |area |areas,2014100410,8297,8,9.642039291310112E-4
area |area |areas,2014100412,8252,4,4.847309743092584E-4
area |area |areas,2014100515,6526,3,4.5969966288691386E-4
area |area |areas,2014100411,8736,6,6.868131868131869E-4
area |area |areas,2014100514,7337,8,0.0010903639089546136
area |area |areas,2014100414,8029,8,9.963880931622867E-4
area |area |areas,2014100517,16635,4,2.4045686804929366E-4
area |area |areas,2014100413,7649,2,2.6147208785462153E-4
area |area |areas,2014100516,7164,2,2.7917364600781687E-4
area |area |areas,2014100416,8535,6,7.0298769771529E-4
area |area |areas,2014100511,8203,1,1.2190661952944045E-4
area |area |areas,2014100415,9288,1,1.0766580534022394E-4
area |area |areas,2014100510,7389,4,5.413452429286778E-4
area |area |areas,2014100418,8794,3,3.411416875142142E-4
area |area |areas,2014100513,8653,5,5.778342771293193E-4
area |area |areas,2014100417,9001,4,4.4439506721475393E-4
area |area |areas,2014100512,7658,2,2.6116479498563595E-4
area |area |areas,2014100908,14247,7,4.913315083877308E-4
area |area |areas,2014100907,7751,6,7.740936653335053E-4
area |area |areas,2014100419,8630,3,3.476245654692932E-4
area |area |areas,2014100909,1000,0,0.0
area |area |areas,2014100721,11447,2,1.747182667947934E-4
area |area |areas,2014100722,8294,3,3.617072582589824E-4
area |area |areas,2014100720,10198,2,1.9611688566385565E-4
area |area |areas,2014100723,5300,2,3.773584905660377E-4
area |area |areas,2014100520,14801,6,4.0537801499898656E-4
area |area |areas,2014100523,12605,1,7.933359777865926E-5
area |area |areas,2014100522,10915,3,2.7485112230874945E-4
area |area |areas,2014100521,14363,8,5.569867019424911E-4
area |area |areas,2014100623,8800,13,0.0014772727272727272
area |area |areas,2014100622,9000,11,0.0012222222222222222
area |area |areas,2014100621,9007,4,4.4409903408460086E-4
area |area |areas,2014100620,8998,3,3.3340742387197157E-4
area |area |areas,2014093011,9741,3,3.079765937788728E-4
area |area |areas,2014093012,11191,4,3.574300777410419E-4
area |area |areas,2014093013,5267,3,5.69584203531422E-4
area |area |areas,2014093017,3899,3,7.694280584765325E-4
area |area |areas,2014093018,99,0,0.0
area |area |areas,2014093019,8564,7,8.173750583839327E-4
