tax |tax |taxes,2014100223,8580,3,3.4965034965034965E-4
tax |tax |taxes,2014100817,6743,2,2.9660388551090017E-4
tax |tax |taxes,2014100600,15771,22,0.0013949654429015281
tax |tax |taxes,2014100703,5792,3,5.179558011049724E-4
tax |tax |taxes,2014100818,7400,15,0.002027027027027027
tax |tax |taxes,2014100601,8669,8,9.228284692582767E-4
tax |tax |taxes,2014100704,3010,0,0.0
tax |tax |taxes,2014100815,5628,5,8.884150675195451E-4
tax |tax |taxes,2014100701,13455,5,3.716090672612412E-4
tax |tax |taxes,2014100816,7857,3,3.8182512409316535E-4
tax |tax |taxes,2014100702,8524,1,1.1731581417175035E-4
tax |tax |taxes,2014100509,9287,5,5.383869925702595E-4
tax |tax |taxes,2014100508,6498,1,1.538935056940597E-4
tax |tax |taxes,2014100819,4300,3,6.976744186046512E-4
tax |tax |taxes,2014100507,16911,3,1.7739932588256165E-4
tax |tax |taxes,2014100403,6749,2,2.96340198547933E-4
tax |tax |taxes,2014100506,11836,1,8.448800270361608E-5
tax |tax |taxes,2014100402,6613,1,1.5121729925903524E-4
tax |tax |taxes,2014100505,6487,2,3.083089255433945E-4
tax |tax |taxes,2014100401,4570,3,6.564551422319475E-4
tax |tax |taxes,2014100504,3861,1,2.59000259000259E-4
tax |tax |taxes,2014100400,5285,1,1.892147587511826E-4
tax |tax |taxes,2014100503,4540,1,2.2026431718061675E-4
tax |tax |taxes,2014100709,5572,10,0.0017946877243359654
tax |tax |taxes,2014100407,7111,8,0.0011250175783996624
tax |tax |taxes,2014100406,10763,1,9.2910898448388E-5
tax |tax |taxes,2014100501,6148,2,3.2530904359141186E-4
tax |tax |taxes,2014100405,10366,1,9.646922631680494E-5
tax |tax |taxes,2014100500,11540,9,7.79896013864818E-4
tax |tax |taxes,2014100404,3086,2,6.480881399870382E-4
tax |tax |taxes,2014100409,9932,11,0.0011075312122432541
tax |tax |taxes,2014100408,10458,11,0.0010518263530311723
tax |tax |taxes,2014100903,4141,0,0.0
tax |tax |taxes,2014100613,12260,9,7.34094616639478E-4
tax |tax |taxes,2014100904,4854,2,4.1203131437989287E-4
tax |tax |taxes,2014100614,10247,14,0.0013662535376207671
tax |tax |taxes,2014100905,7777,0,0.0
tax |tax |taxes,2014100615,8801,9,0.0010226110669242132
tax |tax |taxes,2014100710,7431,9,0.0012111425111021397
tax |tax |taxes,2014100906,3505,3,8.559201141226819E-4
tax |tax |taxes,2014100616,10833,15,0.0013846579894765993
tax |tax |taxes,2014100711,13474,42,0.003117114442630251
tax |tax |taxes,2014100617,11523,12,0.001041395469929706
tax |tax |taxes,2014100900,3864,3,7.763975155279503E-4
tax |tax |taxes,2014100618,10834,0,0.0
tax |tax |taxes,2014100901,3052,5,0.00163826998689384
tax |tax |taxes,2014100619,10472,6,5.729564553093965E-4
tax |tax |taxes,2014100902,4916,0,0.0
tax |tax |taxes,2014100716,9756,8,8.200082000820008E-4
tax |tax |taxes,2014100800,3418,4,0.0011702750146284377
tax |tax |taxes,2014100717,12018,10,8.320852055250458E-4
tax |tax |taxes,2014100801,4912,7,0.0014250814332247557
tax |tax |taxes,2014100718,9824,19,0.0019340390879478827
tax |tax |taxes,2014100802,4582,1,2.1824530772588389E-4
tax |tax |taxes,2014100719,8904,19,0.0021338724168912847
tax |tax |taxes,2014100803,4750,4,8.421052631578948E-4
tax |tax |taxes,2014100712,10146,27,0.0026611472501478417
tax |tax |taxes,2014100804,8238,4,4.8555474629764507E-4
tax |tax |taxes,2014100610,8565,28,0.0032691185055458262
tax |tax |taxes,2014100713,7382,21,0.002844757518287727
tax |tax |taxes,2014100805,6904,2,2.8968713789107763E-4
tax |tax |taxes,2014100611,8676,31,0.003573075149838635
tax |tax |taxes,2014100714,9294,16,0.0017215407789972026
tax |tax |taxes,2014100806,7696,6,7.796257796257797E-4
tax |tax |taxes,2014100612,7761,16,0.002061590001288494
tax |tax |taxes,2014100715,8494,25,0.002943254061690605
tax |tax |taxes,2014100807,6298,3,4.76341695776437E-4
tax |tax |taxes,2014100519,13547,27,0.001993061194360375
tax |tax |taxes,2014100809,5933,12,0.0020225855385133996
tax |tax |taxes,2014100518,12589,35,0.002780204940821352
tax |tax |taxes,2014100808,7916,7,8.842849924204143E-4
tax |tax |taxes,2014100410,8297,7,8.436784379896348E-4
tax |tax |taxes,2014100412,8252,4,4.847309743092584E-4
tax |tax |taxes,2014100515,6526,13,0.00199203187250996
tax |tax |taxes,2014100411,8736,5,5.723443223443224E-4
tax |tax |taxes,2014100514,7337,9,0.0012266593975739403
tax |tax |taxes,2014100414,8029,2,2.4909702329057166E-4
tax |tax |taxes,2014100517,16635,51,0.0030658250676284943
tax |tax |taxes,2014100413,7649,4,5.229441757092431E-4
tax |tax |taxes,2014100516,7164,31,0.004327191513121161
tax |tax |taxes,2014100416,8535,3,3.51493848857645E-4
tax |tax |taxes,2014100511,8203,11,0.0013409728148238449
tax |tax |taxes,2014100415,9288,6,6.459948320413437E-4
tax |tax |taxes,2014100510,7389,8,0.0010826904858573555
tax |tax |taxes,2014100418,8794,6,6.822833750284285E-4
tax |tax |taxes,2014100513,8653,21,0.0024269039639431412
tax |tax |taxes,2014100417,9001,5,5.554938340184424E-4
tax |tax |taxes,2014100512,7658,7,9.140767824497258E-4
tax |tax |taxes,2014100908,14247,10,7.019021548396153E-4
tax |tax |taxes,2014100907,7751,4,5.160624435556702E-4
tax |tax |taxes,2014100419,8630,5,5.793742757821553E-4
tax |tax |taxes,2014100909,1000,1,0.001
tax |tax |taxes,2014100721,11447,4,3.494365335895868E-4
tax |tax |taxes,2014100722,8294,18,0.0021702435495538942
tax |tax |taxes,2014100720,10198,7,6.864090998234948E-4
tax |tax |taxes,2014100723,5300,11,0.0020754716981132076
tax |tax |taxes,2014100520,14801,14,9.458820349976353E-4
tax |tax |taxes,2014100523,12605,41,0.0032526775089250295
tax |tax |taxes,2014100522,10915,14,0.001282638570774164
tax |tax |taxes,2014100521,14363,18,0.0012532200793706051
tax |tax |taxes,2014100623,8800,4,4.5454545454545455E-4
tax |tax |taxes,2014100622,9000,10,0.0011111111111111111
tax |tax |taxes,2014100621,9007,9,9.99222826690352E-4
tax |tax |taxes,2014100620,8998,11,0.0012224938875305623
tax |tax |taxes,2014093011,9741,15,0.001539882968894364
tax |tax |taxes,2014093012,11191,43,0.0038423733357162006
tax |tax |taxes,2014093013,5267,14,0.0026580596164799694
tax |tax |taxes,2014093017,3899,1,2.5647601949217746E-4
tax |tax |taxes,2014093018,99,1,0.010101010101010102
tax |tax |taxes,2014093019,8564,23,0.002685660906118636
