business |businesses |business,2014100223,8580,24,0.002797202797202797
business |businesses |business,2014100103,1127,0,0.0
business |businesses |business,2014100102,2940,7,0.002380952380952381
business |businesses |business,2014100101,3598,8,0.0022234574763757642
business |businesses |business,2014100100,1816,2,0.0011013215859030838
business |businesses |business,2014100109,10999,35,0.0031821074643149376
business |businesses |business,2014100108,14670,36,0.00245398773006135
business |businesses |business,2014100107,32104,32,9.9676052828308E-4
business |businesses |business,2014100210,10300,43,0.004174757281553398
business |businesses |business,2014100211,11008,46,0.0041787790697674415
business |businesses |business,2014100212,11567,56,0.004841359038644419
business |businesses |business,2014100316,10537,60,0.005694220366328177
business |businesses |business,2014100213,10976,56,0.00510204081632653
business |businesses |business,2014100317,9832,29,0.0029495524816924327
business |businesses |business,2014100214,12210,67,0.005487305487305487
business |businesses |business,2014100318,9075,13,0.0014325068870523416
business |businesses |business,2014100215,11832,62,0.005240027045300879
business |businesses |business,2014100319,8645,17,0.0019664545980335453
business |businesses |business,2014100216,10725,47,0.004382284382284382
business |businesses |business,2014100312,10661,45,0.004220992402213676
business |businesses |business,2014100217,9835,43,0.004372140315200813
business |businesses |business,2014100313,9887,38,0.0038434307676747242
business |businesses |business,2014100218,9907,29,0.002927223175532452
business |businesses |business,2014100314,9820,22,0.002240325865580448
business |businesses |business,2014100219,11100,26,0.0023423423423423423
business |businesses |business,2014100420,8163,18,0.002205071664829107
business |businesses |business,2014100315,10271,63,0.006133774705481453
business |businesses |business,2014100120,12122,24,0.001979871308364956
business |businesses |business,2014100421,8099,14,0.001728608470181504
business |businesses |business,2014100422,8432,19,0.0022533206831119547
business |businesses |business,2014100423,6306,10,0.001585791309863622
business |businesses |business,2014100310,10343,39,0.0037706661510200135
business |businesses |business,2014100311,11400,56,0.004912280701754386
business |businesses |business,2014100115,14152,41,0.0028971170152628603
business |businesses |business,2014100114,11535,56,0.004854789770264413
business |businesses |business,2014100117,11365,32,0.0028156621205455345
business |businesses |business,2014100116,10904,35,0.003209831254585473
business |businesses |business,2014100111,9571,44,0.004597220771079302
business |businesses |business,2014100110,9126,42,0.0046022353714661405
business |businesses |business,2014100823,5727,8,0.001396891915488039
business |businesses |business,2014100113,11543,30,0.0025989777354240664
business |businesses |business,2014100822,900,3,0.0033333333333333335
business |businesses |business,2014100112,11651,48,0.00411981804136984
business |businesses |business,2014100119,11403,20,0.0017539244058581076
business |businesses |business,2014100118,10294,25,0.0024285991839906743
business |businesses |business,2014100604,4638,1,2.1561017680034498E-4
business |businesses |business,2014100605,8675,7,8.069164265129683E-4
business |businesses |business,2014100700,5207,7,0.0013443441521029385
business |businesses |business,2014100914,3191,53,0.016609213412723284
business |businesses |business,2014100602,8176,3,3.669275929549902E-4
business |businesses |business,2014100915,1000,25,0.025
business |businesses |business,2014100603,9384,4,4.2625745950554135E-4
business |businesses |business,2014100912,2545,36,0.014145383104125737
business |businesses |business,2014100608,13680,26,0.0019005847953216374
business |businesses |business,2014100913,6771,85,0.012553537143701079
business |businesses |business,2014100609,13287,53,0.003988861292993151
business |businesses |business,2014100810,6053,22,0.0036345613745250287
business |businesses |business,2014100606,4334,4,9.229349330872173E-4
business |businesses |business,2014100607,6194,19,0.003067484662576687
business |businesses |business,2014100707,4802,20,0.004164931278633903
business |businesses |business,2014100813,7061,22,0.003115705990652882
business |businesses |business,2014100708,5400,31,0.005740740740740741
business |businesses |business,2014100814,6011,28,0.004658126767592747
business |businesses |business,2014100705,2740,6,0.0021897810218978104
business |businesses |business,2014100811,6604,23,0.0034827377347062386
business |businesses |business,2014100706,3398,6,0.0017657445556209534
business |businesses |business,2014100812,5896,24,0.004070556309362279
business |businesses |business,2014100817,6743,8,0.0011864155420436007
business |businesses |business,2014100600,15771,11,6.974827214507641E-4
business |businesses |business,2014100703,5792,4,6.906077348066298E-4
business |businesses |business,2014100818,7400,19,0.0025675675675675674
business |businesses |business,2014100601,8669,9,0.0010381820279155613
business |businesses |business,2014100704,3010,6,0.0019933554817275745
business |businesses |business,2014100815,5628,21,0.0037313432835820895
business |businesses |business,2014100701,13455,4,2.9728725380899295E-4
business |businesses |business,2014100816,7857,27,0.003436426116838488
business |businesses |business,2014100702,8524,4,4.692632566870014E-4
business |businesses |business,2014100509,9287,11,0.001184451383654571
business |businesses |business,2014100508,6498,12,0.0018467220683287165
business |businesses |business,2014100819,4300,10,0.002325581395348837
business |businesses |business,2014100507,16911,7,4.1393176039264385E-4
business |businesses |business,2014100403,6749,3,4.4451029782189953E-4
business |businesses |business,2014100506,11836,5,4.2244001351808043E-4
business |businesses |business,2014100402,6613,4,6.048691970361409E-4
business |businesses |business,2014100505,6487,9,0.0013873901649452752
business |businesses |business,2014100401,4570,3,6.564551422319475E-4
business |businesses |business,2014100504,3861,8,0.002072002072002072
business |businesses |business,2014100400,5285,9,0.0017029328287606433
business |businesses |business,2014100503,4540,3,6.607929515418502E-4
business |businesses |business,2014100709,5572,20,0.003589375448671931
business |businesses |business,2014100407,7111,68,0.009562649416397132
business |businesses |business,2014100406,10763,9,8.36198086035492E-4
business |businesses |business,2014100501,6148,3,4.8796356538711777E-4
business |businesses |business,2014100405,10366,12,0.0011576307158016593
business |businesses |business,2014100500,11540,7,6.065857885615251E-4
business |businesses |business,2014100404,3086,6,0.0019442644199611147
business |businesses |business,2014100409,9932,57,0.005739025372533226
business |businesses |business,2014100408,10458,69,0.006597819850831899
business |businesses |business,2014100903,4141,4,9.659502535619416E-4
business |businesses |business,2014100613,12260,34,0.0027732463295269166
business |businesses |business,2014100904,4854,6,0.0012360939431396785
business |businesses |business,2014100614,10247,26,0.0025373279984385673
business |businesses |business,2014100905,7777,4,5.143371480005143E-4
business |businesses |business,2014100615,8801,25,0.0028405862970117034
business |businesses |business,2014100710,7431,21,0.002825999192571659
business |businesses |business,2014100906,3505,5,0.0014265335235378032
business |businesses |business,2014100616,10833,31,0.002861626511584972
business |businesses |business,2014100711,13474,40,0.0029686804215526197
business |businesses |business,2014100617,11523,20,0.0017356591165495097
business |businesses |business,2014100900,3864,8,0.002070393374741201
business |businesses |business,2014100618,10834,14,0.0012922281705741185
business |businesses |business,2014100901,3052,10,0.00327653997378768
business |businesses |business,2014100619,10472,24,0.002291825821237586
business |businesses |business,2014100902,4916,12,0.0024410089503661514
business |businesses |business,2014100716,9756,41,0.0042025420254202545
business |businesses |business,2014100800,3418,6,0.0017554125219426564
business |businesses |business,2014100717,12018,28,0.002329838575470128
business |businesses |business,2014100801,4912,12,0.0024429967426710096
business |businesses |business,2014100718,9824,24,0.0024429967426710096
business |businesses |business,2014100802,4582,4,8.729812309035355E-4
business |businesses |business,2014100719,8904,29,0.00325696316262354
business |businesses |business,2014100803,4750,6,0.0012631578947368421
business |businesses |business,2014100712,10146,36,0.0035481963335304554
business |businesses |business,2014100804,8238,7,8.497208060208788E-4
business |businesses |business,2014100610,8565,28,0.0032691185055458262
business |businesses |business,2014100713,7382,33,0.004470333243023571
business |businesses |business,2014100805,6904,3,4.3453070683661645E-4
business |businesses |business,2014100611,8676,40,0.004610419548178884
business |businesses |business,2014100714,9294,23,0.0024747148698084785
business |businesses |business,2014100806,7696,5,6.496881496881497E-4
business |businesses |business,2014100612,7761,29,0.003736631877335395
business |businesses |business,2014100715,8494,28,0.0032964445490934777
business |businesses |business,2014100807,6298,10,0.0015878056525881232
business |businesses |business,2014100519,13547,10,7.381708127260648E-4
business |businesses |business,2014100809,5933,14,0.002359683128265633
business |businesses |business,2014100518,12589,9,7.149098419254905E-4
business |businesses |business,2014100808,7916,27,0.003410813542193027
business |businesses |business,2014100410,8297,76,0.009159937326744607
business |businesses |business,2014100412,8252,60,0.007270964614638876
business |businesses |business,2014100515,6526,14,0.0021452650934722646
business |businesses |business,2014100411,8736,52,0.005952380952380952
business |businesses |business,2014100514,7337,11,0.0014992503748125937
business |businesses |business,2014100414,8029,40,0.0049819404658114335
business |businesses |business,2014100517,16635,15,9.017132551848512E-4
business |businesses |business,2014100413,7649,28,0.0036606092299647014
business |businesses |business,2014100516,7164,9,0.001256281407035176
business |businesses |business,2014100416,8535,27,0.003163444639718805
business |businesses |business,2014100511,8203,17,0.0020724125320004875
business |businesses |business,2014100415,9288,14,0.0015073212747631353
business |businesses |business,2014100510,7389,20,0.002706726214643389
business |businesses |business,2014100418,8794,15,0.0017057084375710712
business |businesses |business,2014100513,8653,27,0.0031203050964983244
business |businesses |business,2014100417,9001,24,0.0026663704032885236
business |businesses |business,2014100512,7658,9,0.0011752415774353617
business |businesses |business,2014100908,14247,31,0.0021758966800028076
business |businesses |business,2014100907,7751,30,0.003870468326667527
business |businesses |business,2014100419,8630,16,0.0018539976825028969
business |businesses |business,2014100909,1000,1,0.001
business |businesses |business,2014100721,11447,20,0.001747182667947934
business |businesses |business,2014100722,8294,12,0.0014468290330359296
business |businesses |business,2014100720,10198,32,0.0031378701706216905
business |businesses |business,2014100723,5300,12,0.0022641509433962265
business |businesses |business,2014100520,14801,11,7.431930274981421E-4
business |businesses |business,2014100523,12605,13,0.0010313367711225704
business |businesses |business,2014100522,10915,3,2.7485112230874945E-4
business |businesses |business,2014100521,14363,15,0.0010443500661421708
business |businesses |business,2014100623,8800,13,0.0014772727272727272
business |businesses |business,2014100622,9000,20,0.0022222222222222222
business |businesses |business,2014100621,9007,20,0.002220495170423004
business |businesses |business,2014100620,8998,15,0.0016670371193598578
business |businesses |business,2014093011,9741,24,0.0024638127502309825
business |businesses |business,2014093012,11191,28,0.0025020105441872936
business |businesses |business,2014093013,5267,9,0.0017087526105942661
business |businesses |business,2014093017,3899,10,0.0025647601949217746
business |businesses |business,2014093018,99,0,0.0
business |businesses |business,2014093019,8564,22,0.002568893040635217
