appeal |appeal |appeals,2014100223,8580,5,5.827505827505828E-4
appeal |appeal |appeals,2014100509,9287,2,2.153547970281038E-4
appeal |appeal |appeals,2014100508,6498,0,0.0
appeal |appeal |appeals,2014100819,4300,4,9.302325581395349E-4
appeal |appeal |appeals,2014100507,16911,2,1.182662172550411E-4
appeal |appeal |appeals,2014100403,6749,1,1.481700992739665E-4
appeal |appeal |appeals,2014100506,11836,0,0.0
appeal |appeal |appeals,2014100402,6613,0,0.0
appeal |appeal |appeals,2014100505,6487,0,0.0
appeal |appeal |appeals,2014100401,4570,2,4.37636761487965E-4
appeal |appeal |appeals,2014100504,3861,0,0.0
appeal |appeal |appeals,2014100400,5285,1,1.892147587511826E-4
appeal |appeal |appeals,2014100503,4540,0,0.0
appeal |appeal |appeals,2014100709,5572,0,0.0
appeal |appeal |appeals,2014100407,7111,1,1.406271972999578E-4
appeal |appeal |appeals,2014100406,10763,0,0.0
appeal |appeal |appeals,2014100501,6148,0,0.0
appeal |appeal |appeals,2014100405,10366,0,0.0
appeal |appeal |appeals,2014100500,11540,0,0.0
appeal |appeal |appeals,2014100404,3086,0,0.0
appeal |appeal |appeals,2014100409,9932,7,7.047925896093435E-4
appeal |appeal |appeals,2014100408,10458,4,3.8248231019315357E-4
appeal |appeal |appeals,2014100903,4141,0,0.0
appeal |appeal |appeals,2014100613,12260,12,9.787928221859706E-4
appeal |appeal |appeals,2014100904,4854,1,2.0601565718994644E-4
appeal |appeal |appeals,2014100614,10247,3,2.927686152044501E-4
appeal |appeal |appeals,2014100905,7777,0,0.0
appeal |appeal |appeals,2014100615,8801,8,9.08987615043745E-4
appeal |appeal |appeals,2014100710,7431,3,4.037141703673799E-4
appeal |appeal |appeals,2014100906,3505,1,2.853067047075606E-4
appeal |appeal |appeals,2014100616,10833,23,0.0021231422505307855
appeal |appeal |appeals,2014100711,13474,0,0.0
appeal |appeal |appeals,2014100617,11523,7,6.074806907923284E-4
appeal |appeal |appeals,2014100900,3864,0,0.0
appeal |appeal |appeals,2014100618,10834,10,9.230201218386561E-4
appeal |appeal |appeals,2014100901,3052,0,0.0
appeal |appeal |appeals,2014100619,10472,5,4.774637127578304E-4
appeal |appeal |appeals,2014100902,4916,0,0.0
appeal |appeal |appeals,2014100716,9756,1,1.025010250102501E-4
appeal |appeal |appeals,2014100800,3418,0,0.0
appeal |appeal |appeals,2014100717,12018,1,8.320852055250458E-5
appeal |appeal |appeals,2014100801,4912,0,0.0
appeal |appeal |appeals,2014100718,9824,2,2.0358306188925082E-4
appeal |appeal |appeals,2014100802,4582,0,0.0
appeal |appeal |appeals,2014100719,8904,3,3.3692722371967657E-4
appeal |appeal |appeals,2014100803,4750,0,0.0
appeal |appeal |appeals,2014100712,10146,2,1.9712201852946975E-4
appeal |appeal |appeals,2014100804,8238,0,0.0
appeal |appeal |appeals,2014100610,8565,0,0.0
appeal |appeal |appeals,2014100713,7382,0,0.0
appeal |appeal |appeals,2014100805,6904,0,0.0
appeal |appeal |appeals,2014100611,8676,1,1.152604887044721E-4
appeal |appeal |appeals,2014100714,9294,0,0.0
appeal |appeal |appeals,2014100806,7696,0,0.0
appeal |appeal |appeals,2014100612,7761,10,0.0012884937508053087
appeal |appeal |appeals,2014100715,8494,3,3.531904874028726E-4
appeal |appeal |appeals,2014100807,6298,0,0.0
appeal |appeal |appeals,2014100519,13547,2,1.4763416254521297E-4
appeal |appeal |appeals,2014100809,5933,0,0.0
appeal |appeal |appeals,2014100518,12589,0,0.0
appeal |appeal |appeals,2014100808,7916,0,0.0
appeal |appeal |appeals,2014100410,8297,5,6.02627455706882E-4
appeal |appeal |appeals,2014100412,8252,5,6.059137178865729E-4
appeal |appeal |appeals,2014100515,6526,1,1.5323322096230462E-4
appeal |appeal |appeals,2014100411,8736,2,2.2893772893772894E-4
appeal |appeal |appeals,2014100514,7337,0,0.0
appeal |appeal |appeals,2014100414,8029,1,1.2454851164528583E-4
appeal |appeal |appeals,2014100517,16635,1,6.0114217012323416E-5
appeal |appeal |appeals,2014100413,7649,3,3.922081317819323E-4
appeal |appeal |appeals,2014100516,7164,2,2.7917364600781687E-4
appeal |appeal |appeals,2014100416,8535,0,0.0
appeal |appeal |appeals,2014100511,8203,1,1.2190661952944045E-4
appeal |appeal |appeals,2014100415,9288,3,3.2299741602067185E-4
appeal |appeal |appeals,2014100510,7389,1,1.3533631073216944E-4
appeal |appeal |appeals,2014100418,8794,1,1.1371389583807141E-4
appeal |appeal |appeals,2014100513,8653,0,0.0
appeal |appeal |appeals,2014100417,9001,1,1.1109876680368848E-4
appeal |appeal |appeals,2014100512,7658,0,0.0
appeal |appeal |appeals,2014100908,14247,0,0.0
appeal |appeal |appeals,2014100907,7751,0,0.0
appeal |appeal |appeals,2014100419,8630,0,0.0
appeal |appeal |appeals,2014100909,1000,4,0.004
appeal |appeal |appeals,2014100721,11447,1,8.73591333973967E-5
appeal |appeal |appeals,2014100722,8294,0,0.0
appeal |appeal |appeals,2014100720,10198,5,4.902922141596392E-4
appeal |appeal |appeals,2014100723,5300,1,1.8867924528301886E-4
appeal |appeal |appeals,2014100520,14801,3,2.0268900749949328E-4
appeal |appeal |appeals,2014100523,12605,0,0.0
appeal |appeal |appeals,2014100522,10915,0,0.0
appeal |appeal |appeals,2014100521,14363,0,0.0
appeal |appeal |appeals,2014100623,8800,6,6.818181818181819E-4
appeal |appeal |appeals,2014100622,9000,1,1.1111111111111112E-4
appeal |appeal |appeals,2014100621,9007,3,3.3307427556345063E-4
appeal |appeal |appeals,2014100620,8998,4,4.445432318292954E-4
appeal |appeal |appeals,2014093011,9741,3,3.079765937788728E-4
appeal |appeal |appeals,2014093012,11191,3,2.6807255830578144E-4
appeal |appeal |appeals,2014093013,5267,0,0.0
appeal |appeal |appeals,2014093017,3899,0,0.0
appeal |appeal |appeals,2014093018,99,0,0.0
appeal |appeal |appeals,2014093019,8564,5,5.838393274170948E-4
