job |jobs |job,2014100223,8580,15,0.0017482517482517483
job |jobs |job,2014100418,8794,18,0.0020468501250852852
job |jobs |job,2014100513,8653,22,0.002542470819369005
job |jobs |job,2014100417,9001,20,0.0022219753360737697
job |jobs |job,2014100512,7658,14,0.0018281535648994515
job |jobs |job,2014100908,14247,17,0.001193233663227346
job |jobs |job,2014100907,7751,23,0.002967359050445104
job |jobs |job,2014100419,8630,19,0.00220162224797219
job |jobs |job,2014100909,1000,6,0.006
job |jobs |job,2014100721,11447,59,0.005154188870446406
job |jobs |job,2014100722,8294,55,0.006631299734748011
job |jobs |job,2014100720,10198,49,0.004804863698764463
job |jobs |job,2014100723,5300,38,0.007169811320754717
job |jobs |job,2014100520,14801,31,0.0020944530774947637
job |jobs |job,2014100523,12605,38,0.003014676715589052
job |jobs |job,2014100522,10915,26,0.0023820430600091616
job |jobs |job,2014100521,14363,20,0.0013924667548562278
job |jobs |job,2014100623,8800,13,0.0014772727272727272
job |jobs |job,2014100622,9000,31,0.0034444444444444444
job |jobs |job,2014100621,9007,54,0.005995336960142112
job |jobs |job,2014100620,8998,49,0.005445654589908869
job |jobs |job,2014093011,9741,12,0.0012319063751154912
job |jobs |job,2014093012,11191,21,0.00187650790814047
job |jobs |job,2014093013,5267,547,0.10385418644389596
job |jobs |job,2014093017,3899,46,0.011797896896640164
job |jobs |job,2014093018,99,0,0.0
job |jobs |job,2014093019,8564,64,0.007473143390938813
